#plate,mjd,fiberID
2228,53818,373
2656,54484,149
2609,54476,345
2610,54476,513
2610,54476,516
2610,54476,582
2610,54476,583
2610,54476,593
2009,53904,397
2009,53904,400
2009,53904,433
2011,53499,528
2608,54474,162
2608,54474,175
2608,54474,178
2608,54474,189
2240,53823,456
2240,53823,459
2240,53823,460
2240,53823,521
2240,53823,524
2240,53823,525
2240,53823,531
2240,53823,532
2240,53823,564
2240,53823,565
2240,53823,570
2240,53823,571
2240,53823,572
2240,53823,573
2240,53823,574
2240,53823,578
2240,53823,601
2240,53823,604
2240,53823,605
2240,53823,606
2240,53823,607
2240,53823,610
2240,53823,613
2240,53823,614
2240,53823,616
2240,53823,617
2240,53823,618
2240,53823,619
2241,54169,327
2241,54169,329
2241,54169,332
2241,54169,334
2241,54169,337
2241,54169,338
2241,54169,339
2241,54169,340
2241,54169,343
2241,54169,344
2241,54169,356
2241,54169,361
2241,54169,362
2241,54169,372
2241,54169,376
2241,54169,377
2241,54169,378
2241,54169,382
2241,54169,403
2241,54169,405
2241,54169,408
2241,54169,409
2241,54169,411
2241,54169,413
2241,54169,414
2241,54169,415
2241,54169,417
2241,54169,418
2241,54169,419
2241,54169,420
2241,54169,437
2241,54169,441
2241,54169,442
2241,54169,444
2496,54178,602
2500,54178,380
5976,56356,642
2500,54178,446
2500,54178,454
2500,54178,572
2500,54178,614
2504,54179,332
2504,54179,337
2504,54179,339
2504,54179,371
2504,54179,376
2504,54179,452
2504,54179,459
2507,53876,333
2655,54184,592
2655,54184,621
2655,54184,637
2655,54184,639
2656,54484,228
2656,54484,435
2656,54484,473
2656,54484,480
2656,54484,489
2656,54484,495
2656,54484,497
2656,54484,498
2656,54484,518
2657,54502,71
2240,53823,65
2240,53823,75
2240,53823,102
2104,53852,239
2241,54169,21
2509,54180,630
2241,54169,22
2241,54169,26
2241,54169,192
2242,54153,440
2515,54180,421
2608,54474,461
2608,54474,463
2608,54474,482
2608,54474,543
2608,54474,544
2608,54474,549
2608,54474,550
2608,54474,588
2608,54474,591
2608,54474,595
2608,54474,596
2608,54474,599
2609,54476,436
2609,54476,437
2240,53823,35
5846,56017,667
2241,54169,108
2218,53816,423
2226,53819,592
2229,53823,429
2229,53823,432
2009,53904,389
2226,53819,629
2226,53819,640
2227,53820,351
2227,53820,501
2227,53820,560
2227,53820,590
2514,53882,104
2514,53882,164
2009,53904,383
2221,53792,302
2493,54115,32
2104,53852,440
2493,54115,640
2497,54154,198
2497,54154,199
2497,54154,264
2514,53882,109
2514,53882,114
2515,54180,412
2515,54180,418
2515,54180,419
2515,54180,444
2515,54180,451
2515,54180,459
2644,54210,229
2505,53856,590
2657,54502,211
2657,54502,216
2657,54502,219
2505,53856,596
2009,53904,617
2644,54210,236
2644,54210,237
2514,53882,524
2644,54210,175
2644,54210,183
2644,54210,188
2513,54141,37
2513,54141,78
2097,53491,220
2505,53856,583
2657,54502,138
2657,54502,179
2509,54180,134
2509,54180,141
2509,54180,213
2241,54169,156
2241,54169,159
2240,53823,233
2241,54169,161
2506,54179,473
2506,54179,489
2506,54179,519
2506,54179,542
2506,54179,595
2506,54179,596
2506,54179,599
2506,54179,624
2509,54180,183
2509,54180,193
2509,54180,199
2240,53823,235
2221,53792,602
2221,53792,616
2009,53904,97
2009,53904,107
2660,54504,372
2660,54504,446
2011,53499,2
2226,53819,329
2226,53819,331
2011,53499,3
2226,53819,416
2011,53499,5
2011,53499,6
2011,53499,31
2226,53819,571
2226,53819,572
2226,53819,576
2011,53499,32
2011,53499,34
2226,53819,578
2226,53819,614
2226,53819,615
2226,53819,620
2227,53820,347
2227,53820,427
2227,53820,515
2227,53820,516
2227,53820,517
2227,53820,518
2227,53820,519
2227,53820,520
2227,53820,524
2227,53820,539
2227,53820,558
2011,53499,35
2227,53820,571
2227,53820,618
2231,53816,446
2009,53904,237
2009,53904,246
2231,53816,503
2009,53904,253
2235,53847,615
2235,53847,617
2238,54205,542
2238,54205,550
2238,54205,556
2009,53904,256
2009,53904,263
2009,53904,266
2009,53904,274
2009,53904,278
2009,53904,279
2009,53904,284
2009,53904,290
2009,53904,294
2009,53904,310
2240,53823,68
2240,53823,74
2240,53823,77
2240,53823,113
2240,53823,117
2241,54169,170
2241,54169,171
2241,54169,38
2659,54498,604
2660,54504,324
2233,53845,453
2233,53845,486
2241,54169,174
2241,54169,178
2226,53819,612
2225,53729,241
2225,53729,250
2229,53823,324
2226,53819,322
2226,53819,526
2227,53820,409
2227,53820,414
2216,53795,568
2216,53795,572
2216,53795,609
2218,53816,368
2218,53816,380
2226,53819,363
2226,53819,365
2226,53819,366
2226,53819,367
2226,53819,369
2226,53819,373
2226,53819,378
2227,53820,371
2009,53904,137
2009,53904,169
2009,53904,221
2009,53904,304
2009,53904,305
2011,53499,1
2011,53499,9
2011,53499,20
2011,53499,42
2011,53499,84
2011,53499,123
2011,53499,124
2011,53499,125
2011,53499,126
2011,53499,147
2011,53499,155
2011,53499,164
2011,53499,165
2011,53499,174
2011,53499,178
2011,53499,201
2011,53499,208
2011,53499,211
2011,53499,219
2011,53499,256
2011,53499,292
2239,53726,13
2009,53904,99
2009,53904,122
2509,54180,152
2509,54180,185
2509,54180,190
2009,53904,185
2009,53904,208
2009,53904,264
2011,53499,45
2011,53499,51
2011,53499,53
2506,54179,35
2225,53729,243
2238,54205,597
2238,54205,599
2238,54205,611
2238,54205,615
2240,53823,379
2240,53823,408
2240,53823,411
2240,53823,444
2240,53823,447
2240,53823,461
2240,53823,502
2240,53823,503
2240,53823,505
2240,53823,506
2240,53823,507
2240,53823,508
2240,53823,515
2240,53823,518
2240,53823,519
2240,53823,541
2240,53823,543
2240,53823,545
2240,53823,546
2240,53823,547
2240,53823,549
2240,53823,550
2240,53823,553
2240,53823,554
2240,53823,555
2240,53823,556
2240,53823,562
2240,53823,575
2240,53823,577
2240,53823,580
2240,53823,581
2240,53823,582
2240,53823,583
2240,53823,603
2240,53823,611
2240,53823,615
2240,53823,623
2240,53823,624
2240,53823,625
2240,53823,626
2240,53823,628
2240,53823,632
2240,53823,633
2240,53823,635
2241,54169,341
2241,54169,342
2241,54169,385
2241,54169,387
2241,54169,388
2241,54169,439
2241,54169,461
2241,54169,463
2241,54169,464
2241,54169,482
2241,54169,484
2241,54169,485
2241,54169,486
2241,54169,487
2241,54169,490
2241,54169,491
2241,54169,492
2241,54169,497
2241,54169,498
2241,54169,507
2241,54169,508
2241,54169,510
2241,54169,511
2241,54169,512
2241,54169,513
2241,54169,515
2241,54169,519
2241,54169,520
2241,54169,541
2241,54169,542
2241,54169,544
2241,54169,553
2241,54169,554
2241,54169,558
2241,54169,559
2241,54169,581
2241,54169,582
2241,54169,583
2241,54169,584
2241,54169,588
2004,53737,185
2004,53737,221
2004,53737,270
2009,53904,522
2500,54178,122
2507,53876,2
2507,53876,314
2511,53882,65
2511,53882,73
2511,53882,75
2511,53882,76
2511,53882,79
2511,53882,103
2511,53882,115
2511,53882,262
2511,53882,306
2513,54141,58
2513,54141,59
2513,54141,260
2513,54141,282
2513,54141,285
2514,53882,246
2514,53882,247
2514,53882,287
2608,54474,143
2608,54474,164
2608,54474,171
2609,54476,302
2644,54210,15
2644,54210,45
2644,54210,48
2657,54502,140
2657,54502,298
2004,53737,280
2004,53737,281
2004,53737,284
2004,53737,286
2009,53904,562
2009,53904,566
2009,53904,569
2009,53904,570
2500,54178,188
2511,53882,197
2511,53882,230
2511,53882,240
2511,53882,273
2511,53882,279
2004,53737,212
2004,53737,244
2228,53818,380
2240,53823,100
2240,53823,245
2240,53823,258
2500,54178,81
2500,54178,83
2507,53876,211
2511,53882,38
2511,53882,69
2511,53882,70
2511,53882,108
2511,53882,109
2511,53882,110
2511,53882,117
2513,54141,241
2513,54141,243
2513,54141,248
2513,54141,287
2004,53737,249
2004,53737,250
2004,53737,255
2240,53823,209
2241,54169,124
2500,54178,202
2500,54178,205
2510,53877,24
2511,53882,261
2610,54476,581
2504,54179,56
2610,54476,548
2611,54477,385
2611,54477,422
2095,53474,20
2104,53852,212
2104,53852,213
2104,53852,255
2228,53818,414
2228,53818,539
2230,53799,610
2240,53823,44
2240,53823,49
2240,53823,125
2240,53823,127
2608,54474,586
2608,54474,587
2608,54474,621
2493,54115,31
2493,54115,35
2497,54154,12
2497,54154,14
2497,54154,131
2497,54154,179
2497,54154,188
2497,54154,192
2497,54154,212
2497,54154,258
2498,54169,408
2500,54178,95
2500,54178,134
2500,54178,137
2608,54474,626
2609,54476,457
2501,54084,281
2609,54476,465
2507,53876,13
2507,53876,16
2507,53876,96
2507,53876,131
2507,53876,138
2509,54180,408
2509,54180,521
2509,54180,525
2511,53882,27
2513,54141,212
2513,54141,253
2514,53882,125
2241,54169,591
2241,54169,592
2241,54169,594
2241,54169,598
2242,54153,322
2242,54153,323
2242,54153,407
2242,54153,410
2242,54153,455
2242,54153,500
2242,54153,507
2240,53823,488
2501,54084,484
2506,54179,28
2506,54179,32
2506,54179,34
2509,54180,169
2509,54180,176
2509,54180,181
2509,54180,184
2509,54180,188
2509,54180,192
2509,54180,194
2509,54180,197
2509,54180,206
2509,54180,255
2514,53882,509
2514,53882,541
2514,53882,549
2240,53823,494
2236,53729,537
2238,54205,534
2655,54184,594
2655,54184,638
2656,54484,425
2656,54484,429
2656,54484,470
2656,54484,484
2656,54484,487
2656,54484,501
2656,54484,505
2656,54484,516
2656,54484,600
2657,54502,544
2657,54502,600
2657,54502,635
2658,54502,345
2238,54205,638
2240,53823,429
2240,53823,432
2240,53823,472
2240,53823,483
2240,53823,498
2502,54180,376
2502,54180,453
2502,54180,459
2502,54180,569
2502,54180,604
2502,54180,605
2502,54180,609
2502,54180,616
2502,54180,617
2506,54179,326
2506,54179,329
2506,54179,609
2506,54179,620
2509,54180,367
2509,54180,369
2509,54180,371
2509,54180,375
2509,54180,393
2509,54180,427
2509,54180,461
2509,54180,472
2509,54180,533
2509,54180,541
2515,54180,415
2515,54180,416
2515,54180,420
2608,54474,455
2608,54474,456
2609,54476,409
2221,53792,140
2221,53792,156
2221,53792,209
2221,53792,210
2221,53792,218
2221,53792,254
2224,53815,51
2230,53799,43
6407,56311,440
2231,53816,523
2232,53827,241
2232,53827,244
2232,53827,248
2240,53823,18
2240,53823,55
2242,54153,234
2242,54153,314
2509,54180,490
2509,54180,506
2509,54180,516
2509,54180,520
2514,53882,632
2230,53799,89
2223,53793,434
2226,53819,560
2226,53819,622
2609,54476,342
2609,54476,344
2609,54476,347
2609,54476,350
2609,54476,359
2609,54476,391
2609,54476,394
2609,54476,396
2609,54476,399
2227,53820,173
2610,54476,543
2227,53820,460
2227,53820,561
2655,54184,435
2657,54502,122
2657,54502,125
2657,54502,126
2657,54502,127
2229,53823,361
2657,54502,210
2229,53823,562
2229,53823,574
2009,53904,123
2009,53904,258
2009,53904,283
2011,53499,26
2011,53499,118
2011,53499,224
2011,53499,266
2230,53799,2
2230,53799,85
2231,53816,616
2236,53729,431
2236,53729,433
2241,54169,566
2241,54169,567
2241,54169,568
2241,54169,570
2514,53882,477
2514,53882,490
2514,53882,504
2609,54476,381
2609,54476,385
2609,54476,388
2230,53799,135
2231,53816,526
2231,53816,530
2232,53827,250
2233,53845,366
2233,53845,368
2236,53729,119
2238,54205,438
2238,54205,498
2238,54205,583
2238,54205,585
2238,54205,586
2238,54205,589
2240,53823,273
2240,53823,278
2240,53823,312
2240,53823,316
2241,54169,304
2242,54153,444
2242,54153,446
2242,54153,449
2242,54153,453
2242,54153,457
2242,54153,458
2242,54153,459
2243,53794,327
2493,54115,631
2493,54115,636
2493,54115,638
2497,54154,280
2497,54154,312
2501,54084,483
2504,54179,584
2504,54179,586
2506,54179,502
2506,54179,505
2506,54179,507
2506,54179,511
2506,54179,516
2506,54179,545
2506,54179,546
2506,54179,547
2506,54179,548
2506,54179,555
2506,54179,590
2509,54180,382
2509,54180,383
2509,54180,431
2509,54180,434
2513,54141,425
2513,54141,473
2513,54141,509
2515,54180,357
2515,54180,386
2515,54180,390
2515,54180,395
2608,54474,431
2608,54474,437
2608,54474,440
2608,54474,471
2608,54474,476
2608,54474,477
2608,54474,480
2608,54474,485
2608,54474,499
2608,54474,506
2608,54474,508
2608,54474,511
2608,54474,512
2608,54474,514
2608,54474,515
2608,54474,516
2608,54474,517
2608,54474,518
2608,54474,519
2608,54474,520
2608,54474,545
2608,54474,547
2608,54474,548
2608,54474,555
2608,54474,557
2608,54474,558
2608,54474,598
2608,54474,600
2609,54476,421
2609,54476,425
2609,54476,428
2609,54476,429
2609,54476,432
2609,54476,434
2611,54477,388
2611,54477,425
2611,54477,428
2611,54477,433
2497,54154,145
2501,54084,248
2501,54084,249
2507,53876,86
2507,53876,241
2507,53876,248
2509,54180,324
2509,54180,361
2509,54180,366
2509,54180,368
2509,54180,407
2509,54180,527
2509,54180,528
2509,54180,530
2511,53882,26
2511,53882,74
2511,53882,77
2511,53882,112
2513,54141,8
2513,54141,29
2513,54141,39
2513,54141,60
2513,54141,206
2513,54141,435
2515,54180,328
2515,54180,368
2595,54207,437
6416,56312,623
6490,56330,328
2501,54084,292
2515,54180,417
2515,54180,566
2608,54474,450
2610,54476,616
2611,54477,372
2643,54208,14
2643,54208,32
2643,54208,312
2643,54208,634
2643,54208,636
2644,54210,469
6407,56311,886
6410,56336,106
6421,56274,714
1994,53845,320
2509,54180,196
1994,53845,184
2239,53726,403
2239,53726,407
2509,54180,249
