#x,y,z,SM,Metal,u_minus_r,g_minus_r
41.317757,14.687283,7.100631,1042692736.000000,0.013987,1.779152,0.562571
82.044685,4.662374,67.346352,1313307008.000000,0.011281,1.208277,0.351831
2.203384,75.655495,51.377556,5978801152.000000,0.015981,1.385303,0.421356
69.650818,11.157135,62.509541,2785868544.000000,0.014461,1.078588,0.268379
65.612457,22.114813,21.580605,1772892160.000000,0.011220,1.629772,0.509497
9.094647,72.027931,82.621399,3486670336.000000,0.011088,1.186245,0.327158
78.039078,97.954414,41.499634,1162079360.000000,0.014278,2.070277,0.629314
64.801369,20.272463,21.753601,1588166144.000000,0.013781,1.649416,0.564384
37.600071,75.081848,30.043905,10399486976.000000,0.019173,1.287971,0.397217
68.480148,48.630100,53.856583,4218893568.000000,0.019909,1.565638,0.494385
67.323135,30.723803,24.477442,2196107008.000000,0.016038,2.023075,0.661156
29.216272,77.763603,19.146318,1139306368.000000,0.011509,1.149853,0.321169
4.247775,79.012115,52.961712,14911087616.000000,0.022788,1.744818,0.574898
39.527752,20.939312,5.182456,3883668992.000000,0.017630,1.901733,0.592733
43.886189,35.044529,8.846484,4967497728.000000,0.014557,1.260262,0.322222
87.281502,64.096886,71.328758,1452622464.000000,0.011098,1.224855,0.340101
60.137497,63.312080,82.952415,5952214016.000000,0.018639,2.355982,0.756870
47.274021,87.546822,31.577818,2620123392.000000,0.016197,1.603817,0.507019
93.284409,12.904181,55.399414,2658000896.000000,0.013733,1.235909,0.375027
23.497189,40.635433,97.690201,12233202688.000000,0.018610,1.067427,0.311253
0.223136,59.538288,99.843399,1767568896.000000,0.013103,1.198303,0.342752
76.498421,37.125912,27.852081,1100458240.000000,0.012807,1.421505,0.462833
0.000602,73.978485,48.280037,53574094848.000000,0.033001,2.666937,0.849756
44.341431,98.713478,28.290230,1096399616.000000,0.014681,1.376644,0.416641
40.742962,14.984053,5.903619,1852122496.000000,0.016222,2.066753,0.623852
27.681866,90.046509,39.488739,1547986176.000000,0.012602,0.998892,0.274746
50.798588,78.687485,9.933367,2389355520.000000,0.015740,1.332766,0.412035
32.710339,80.487320,25.279322,1117360768.000000,0.011614,1.335260,0.391014
8.708383,71.663994,83.371712,1012881536.000000,0.008888,1.164745,0.313314
77.717331,96.003326,7.545534,1721603456.000000,0.014170,1.431192,0.453316
35.313084,87.819206,0.801251,2261618432.000000,0.017240,1.618490,0.528343
23.709740,26.498644,60.271866,1542576000.000000,0.013866,1.690712,0.502949
20.561831,63.366314,19.576605,1485609472.000000,0.013129,1.421198,0.433187
16.319374,77.167320,85.822556,1064028224.000000,0.011986,1.416363,0.485184
99.618340,4.105900,99.059341,1473600128.000000,0.012443,1.016775,0.283852
80.218460,7.811643,68.907005,1279529728.000000,0.012553,1.176620,0.335476
20.398293,9.230521,16.066233,1033516160.000000,0.014876,1.557131,0.482588
0.300578,4.176596,97.693047,1524470656.000000,0.015100,1.490353,0.466364
3.944768,49.768322,34.310040,1040715072.000000,0.014171,1.159414,0.332605
6.381967,68.521027,86.729256,1156036352.000000,0.012011,1.466576,0.489994
3.934439,79.500580,53.311245,5365031936.000000,0.017541,1.646210,0.533907
48.792389,89.692192,29.234924,1147097856.000000,0.011426,1.056074,0.260584
35.382923,75.486237,82.069298,1067395648.000000,0.011998,1.577876,0.541037
47.917747,42.840630,79.387856,2142681088.000000,0.014890,1.520235,0.466774
64.553604,26.809214,8.234413,1284561920.000000,0.013266,1.544424,0.450054
19.239563,37.066574,84.426086,1014088064.000000,0.013236,1.421999,0.408792
32.984482,60.061222,5.606224,1007622464.000000,0.011401,1.335913,0.453442
27.202385,77.060501,39.931877,1952983680.000000,0.013003,1.417383,0.443851
74.709213,15.018899,13.132846,4879643648.000000,0.016815,1.241291,0.401958
92.693260,0.059575,67.766846,1255047168.000000,0.013868,1.507277,0.495516
23.672625,40.645050,97.439774,1361696256.000000,0.012751,1.204893,0.343718
0.387083,78.025452,57.084713,2873912832.000000,0.015278,1.109182,0.332209
46.463070,64.976646,23.936193,1007532864.000000,0.009377,1.249439,0.330963
21.729019,13.943506,17.119923,2365027072.000000,0.015166,1.568892,0.500559
0.199113,73.027405,47.099560,1042707264.000000,0.013286,1.510923,0.517315
30.485447,55.343189,50.818520,1261033856.000000,0.014274,1.343229,0.439987
22.070913,75.236168,23.779039,3203633920.000000,0.015158,1.130047,0.338232
60.100735,68.152985,50.643810,1560700928.000000,0.016687,1.242046,0.383751
47.729340,42.173935,78.355591,4940441088.000000,0.016036,1.715431,0.567036
41.336712,1.293483,1.048853,1091893504.000000,0.012913,1.417421,0.460464
21.708071,45.733902,94.436646,1223746432.000000,0.013618,1.477095,0.491608
2.596757,59.325424,21.446165,2441961984.000000,0.013103,1.226015,0.378057
67.408432,39.719574,7.169958,1268654208.000000,0.014362,1.497101,0.478632
5.040515,19.755537,53.877979,1113327104.000000,0.012024,1.350973,0.393723
82.123558,93.469566,51.985775,1217723136.000000,0.014753,1.073687,0.308819
21.531000,27.356977,90.560310,1173447552.000000,0.012794,1.531357,0.465681
91.472107,63.570759,48.284286,1311386880.000000,0.014606,1.147345,0.336277
61.494431,78.230705,5.948303,1165426432.000000,0.013454,1.167276,0.343485
44.951313,15.985648,7.584236,2168393728.000000,0.014181,1.630438,0.503601
52.304104,32.495296,19.074306,6547268096.000000,0.018052,1.100651,0.325392
40.883053,23.520710,44.010994,1845430528.000000,0.013862,1.183189,0.333893
46.842079,87.361580,36.442265,2746835968.000000,0.015691,1.223724,0.371361
68.638298,32.501602,21.730898,1143202688.000000,0.015643,1.535421,0.474760
67.768845,33.926266,83.534225,1389475200.000000,0.015170,1.247606,0.404381
33.775120,14.529859,44.175072,1507681280.000000,0.014049,1.706034,0.526619
36.499432,82.909103,0.140094,1628083328.000000,0.014083,1.108261,0.316092
26.901903,89.769867,91.754120,1171170944.000000,0.012490,1.349789,0.429504
0.677511,87.731133,60.105782,2764165632.000000,0.012904,1.493353,0.470510
65.074585,21.006365,21.899343,2240602624.000000,0.008631,1.144306,0.291054
51.294144,48.724327,1.852840,1744542848.000000,0.013342,1.367182,0.404373
60.860306,82.399132,0.753471,1028598976.000000,0.009422,0.968845,0.219933
77.310326,50.732018,35.929882,1273440512.000000,0.012689,1.429399,0.443377
49.004707,90.197586,29.258440,1513121536.000000,0.016345,1.632507,0.502571
70.305679,15.910575,28.270185,1021803392.000000,0.012866,1.653226,0.495974
48.955658,75.554497,99.211594,1525911424.000000,0.014673,1.357573,0.420815
50.652885,0.591669,11.578689,1135519872.000000,0.011883,1.228350,0.326488
98.851585,1.562331,41.370022,1062670080.000000,0.008225,1.229946,0.351917
94.221718,7.644979,40.440815,1354379648.000000,0.012605,1.250648,0.378307
18.625633,43.314114,76.236389,1408539520.000000,0.013173,1.408697,0.423294
64.054932,46.703011,47.226860,1281739008.000000,0.015032,1.399601,0.457764
94.891235,8.803752,40.507515,15086880768.000000,0.020705,1.188416,0.357346
80.794754,7.008708,68.901375,2547764992.000000,0.017409,1.777544,0.622936
28.117954,76.846481,66.764603,1188040576.000000,0.011150,1.243919,0.352777
27.447527,61.243504,65.820793,1332496256.000000,0.014164,1.594084,0.550034
99.279892,30.436344,17.815079,1417377024.000000,0.016519,1.424320,0.458269
14.564133,12.883113,48.729694,1123379712.000000,0.013576,1.555891,0.486307
31.680061,50.172920,50.423004,1272279680.000000,0.011955,1.182703,0.364347
49.329792,90.201912,29.113815,1048767616.000000,0.012433,1.158865,0.322145
24.528294,12.369287,2.653647,1641403136.000000,0.014357,1.549156,0.540745
79.238327,88.238388,79.172409,1521535232.000000,0.013648,1.158190,0.324854
14.650346,2.804188,59.585972,1033345216.000000,0.011799,1.664660,0.523726
44.815910,40.328392,73.584076,1215699968.000000,0.014345,1.396770,0.450960
94.617271,8.862092,40.436470,2988787712.000000,0.016044,1.535742,0.497232
48.085548,45.366714,86.527245,1027398080.000000,0.013545,1.198399,0.374624
29.633322,76.255875,96.406654,1439411200.000000,0.013444,1.270000,0.366133
17.894190,42.409187,46.680271,1853304448.000000,0.013927,1.383446,0.448210
69.773010,32.707962,21.470354,1156497408.000000,0.014057,1.863997,0.601742
0.123329,75.108040,56.286163,9292465152.000000,0.017466,1.384604,0.433294
44.926517,10.917912,89.308128,1552984960.000000,0.012126,1.074884,0.303417
45.219727,11.491974,49.203583,1145900288.000000,0.013497,1.394894,0.424229
88.397285,16.930920,26.337431,1117876608.000000,0.012036,1.532761,0.434303
39.521938,21.189510,5.247946,39390359552.000000,0.026833,1.323519,0.416529
29.910055,83.154182,84.488060,1084531456.000000,0.014389,1.626589,0.541254
51.690880,5.281610,74.549789,1366862976.000000,0.011395,1.114305,0.320379
75.755157,83.898354,69.256180,1873403776.000000,0.016039,1.747011,0.610140
81.084114,97.292145,49.012901,1985581312.000000,0.015580,1.545752,0.503399
30.088728,55.559532,54.507210,1031874688.000000,0.015344,1.686102,0.534790
43.818695,12.673373,7.910226,1046194240.000000,0.016731,1.678174,0.585819
14.950539,11.227326,47.659630,1264110208.000000,0.015180,1.466272,0.488689
98.026779,34.156956,75.665558,1213580032.000000,0.013567,1.264111,0.367781
26.241707,97.874504,76.952263,1649810816.000000,0.014661,1.783607,0.506561
99.766167,85.153969,42.642136,1261555712.000000,0.012712,1.388155,0.442020
32.698215,99.662163,95.674950,1751360768.000000,0.014762,1.700045,0.572739
37.155621,74.812027,29.558941,11084657664.000000,0.020628,1.193546,0.363674
63.298641,40.696461,29.576345,1443458176.000000,0.014919,1.342239,0.445259
35.073158,75.728004,80.708954,1311301120.000000,0.013875,1.185486,0.352337
63.688259,36.623253,89.435310,1376870784.000000,0.015634,1.551682,0.509043
22.832960,59.993839,3.488312,1092346880.000000,0.013885,2.166575,0.693521
78.754227,22.969114,95.087524,1590234752.000000,0.015924,1.359037,0.439789
42.188759,7.415134,16.926634,1238749952.000000,0.014282,1.447115,0.462952
22.169285,94.455269,49.840435,1660503296.000000,0.015546,1.252151,0.390474
33.817253,49.371521,35.592754,1234789504.000000,0.013075,1.429153,0.440292
84.799263,90.672096,36.575562,1447014272.000000,0.015269,1.126553,0.338142
86.570869,66.533569,65.905106,1069251648.000000,0.012611,1.595510,0.487015
0.873645,74.570908,49.007748,2279932672.000000,0.015785,1.805216,0.584736
83.345253,95.272820,54.323536,1127007104.000000,0.013758,1.507757,0.472101
38.481525,84.954674,6.971759,1497272064.000000,0.015685,1.624790,0.471426
53.793972,97.183060,54.016712,1606549888.000000,0.015791,1.336004,0.406212
38.432140,80.523705,49.159698,1052225024.000000,0.014941,1.215372,0.359205
35.664017,92.614143,43.747902,1547891200.000000,0.014193,1.279230,0.401260
81.258545,99.511337,43.846889,1211518080.000000,0.013183,1.719257,0.530746
80.291115,73.107063,65.206062,1251673216.000000,0.014750,1.353184,0.440300
70.883598,70.718307,45.401764,1396233856.000000,0.014921,1.596523,0.485605
72.172440,50.672886,80.886497,1061558720.000000,0.013252,1.513973,0.460079
87.853592,73.082275,54.602448,1170056576.000000,0.013586,1.533655,0.499306
77.730568,89.908859,63.460911,1305874688.000000,0.014612,1.975237,0.652678
26.045092,88.614998,39.985821,1657037440.000000,0.013509,1.269991,0.408756
60.015930,41.788410,21.959146,2747277312.000000,0.014472,1.173050,0.330252
94.567780,69.202614,23.378059,1899929984.000000,0.013781,1.271912,0.412725
66.856857,72.718407,53.253056,1207215488.000000,0.014088,1.693875,0.572865
86.675598,13.529384,10.559000,1098014208.000000,0.014713,1.274727,0.408640
44.268852,46.621780,50.517872,1046075904.000000,0.014436,1.251194,0.349833
65.444901,99.522507,54.134899,1125432832.000000,0.012398,1.549330,0.543615
28.774630,56.979321,4.083795,1037725120.000000,0.011279,1.333485,0.400839
10.861747,26.135660,45.635056,1115740288.000000,0.016426,1.401390,0.437351
55.654373,88.585724,48.719158,1801572096.000000,0.013063,1.486242,0.452171
77.692413,17.692320,11.660921,1896498560.000000,0.013603,1.451826,0.466625
93.564362,93.969307,33.638390,1089755648.000000,0.014895,1.696322,0.571032
86.917618,79.340576,57.141903,1533586176.000000,0.018609,1.382977,0.451456
73.482391,34.311119,64.105820,1447679360.000000,0.010474,1.050915,0.272697
67.845894,26.445900,44.906094,1158833152.000000,0.011907,1.265242,0.368778
11.981307,48.373512,17.235542,1190907648.000000,0.011703,1.213400,0.377626
79.447762,12.191133,38.215435,1005943552.000000,0.013720,1.475617,0.473787
98.067619,11.119979,63.691185,1291833728.000000,0.016159,1.543764,0.505564
65.707359,16.093321,18.588760,1318916864.000000,0.017294,1.306335,0.387695
3.671359,2.715763,99.119019,1242507008.000000,0.015242,1.404867,0.459440
78.278893,24.843540,36.496361,1347857408.000000,0.010716,1.184765,0.319645
69.530472,75.252655,60.628647,1752337280.000000,0.013982,1.023722,0.270218
58.749798,44.480583,21.532145,3433518080.000000,0.016216,1.259758,0.360861
49.574448,57.869560,3.369723,1255427456.000000,0.011562,1.219025,0.393904
12.513376,30.511713,59.544716,1883183104.000000,0.011756,1.494942,0.465759
12.308858,73.092964,54.007141,1605255168.000000,0.018298,1.628628,0.556158
67.208427,9.093970,62.995171,1170016896.000000,0.011417,1.066010,0.272482
67.510185,17.994568,11.107985,1084740480.000000,0.014211,1.679479,0.545887
47.699982,35.505630,15.586724,1336237696.000000,0.015010,1.143166,0.336573
26.342064,20.085470,60.774414,1732749056.000000,0.016884,1.689173,0.553349
77.136726,27.929720,66.428940,1167725440.000000,0.011978,1.241325,0.367226
34.165867,28.224684,82.010895,1411175296.000000,0.013110,1.468897,0.446753
32.664871,82.331764,20.170786,1199039104.000000,0.014492,1.444443,0.417974
6.215034,40.475361,35.988327,1040305216.000000,0.014925,1.514334,0.509220
7.644555,36.607864,46.856438,1249105408.000000,0.012259,0.971342,0.256508
39.703415,30.627651,71.371994,1225787008.000000,0.015321,1.697665,0.573185
15.917459,42.802803,36.406929,1147753088.000000,0.014735,1.581532,0.502167
38.811897,69.240929,66.028542,2222076160.000000,0.014514,1.290052,0.387548
81.815483,3.011090,68.874275,10350371840.000000,0.018873,1.172684,0.347555
95.340874,31.050671,30.250813,1060278208.000000,0.014659,1.814487,0.571465
29.296938,16.121138,70.023773,1265840640.000000,0.012864,1.718868,0.543434
65.363266,17.382679,19.520596,1442107520.000000,0.012743,1.462500,0.454727
75.976425,97.953346,0.437682,1217985920.000000,0.014662,1.359066,0.415188
8.627215,52.832493,63.188076,1155027072.000000,0.015793,1.591151,0.507807
93.746414,9.132189,60.217442,1218278272.000000,0.015687,1.993821,0.635527
91.890259,76.365059,29.438662,1174803840.000000,0.016652,1.461531,0.484499
36.497921,72.705109,36.380867,2183811328.000000,0.017351,1.470160,0.472630
2.020784,14.877574,30.332111,1096131456.000000,0.014003,1.969421,0.627842
28.606781,91.182068,38.795277,2115660160.000000,0.016221,1.681692,0.553474
47.095772,23.596838,41.330055,1721961216.000000,0.014474,1.309887,0.409647
48.060631,0.037053,2.240079,3453845760.000000,0.018003,1.552956,0.493521
7.005426,1.534831,42.942219,1297116032.000000,0.011573,1.868134,0.598085
79.298103,87.627190,79.272774,1013863360.000000,0.015413,1.006853,0.288055
74.701981,39.171986,30.315050,2749774336.000000,0.012353,1.115341,0.322935
32.499325,68.596062,82.279022,1228545664.000000,0.013631,1.801522,0.616230
11.272648,45.233250,29.514883,1336098176.000000,0.013713,1.270849,0.358213
8.004788,19.629843,81.785759,1015658624.000000,0.015026,1.320166,0.422010
24.943819,81.404312,34.300098,1693054592.000000,0.013025,1.266878,0.345526
91.133553,26.304951,61.728634,1100202752.000000,0.015180,1.307402,0.462967
63.242210,40.414490,29.276405,1043963968.000000,0.014985,1.272112,0.418854
18.091125,13.542342,63.739594,1161996800.000000,0.012379,1.216774,0.356890
85.025925,78.298912,0.898582,1085621504.000000,0.015209,1.512825,0.465542
90.681770,65.311905,42.891781,1387093632.000000,0.014283,1.602579,0.532564
80.885689,5.422694,69.025726,1093073024.000000,0.013553,1.345081,0.400593
37.403252,1.852713,45.005238,1050031872.000000,0.013763,1.715792,0.552574
0.664281,31.832264,74.498184,2177390848.000000,0.012477,1.318050,0.407093
22.726486,65.758324,27.401524,1143247744.000000,0.014206,1.594851,0.499514
97.081909,87.184631,23.857405,1417486208.000000,0.013247,1.250645,0.349705
65.695869,52.329735,50.764603,1046231680.000000,0.014398,1.060619,0.283733
68.572319,31.268908,22.701857,1338249344.000000,0.013957,1.199860,0.340858
9.790544,80.277435,36.239143,1136289152.000000,0.012514,1.523073,0.490984
45.029968,17.326532,7.222662,1632094080.000000,0.014306,1.334661,0.414034
34.624744,90.898201,48.924862,1334775040.000000,0.015967,2.154484,0.683607
18.310230,1.213152,37.728203,1005507712.000000,0.013962,1.305262,0.390512
48.034611,49.080116,3.688845,1039369728.000000,0.014071,1.140165,0.346117
0.267472,3.686285,2.527292,1637397888.000000,0.013455,1.401861,0.429640
80.081337,69.357498,49.067787,1497159168.000000,0.016103,2.097560,0.645960
19.626284,68.970360,38.578648,1044719424.000000,0.014163,1.573815,0.520887
17.366230,4.948380,38.917877,1142950016.000000,0.013576,1.159315,0.378229
50.732460,55.973183,79.334602,1222345472.000000,0.012591,1.781019,0.535080
67.145676,0.759568,78.246597,1877101696.000000,0.016922,1.401474,0.447075
0.360917,86.989471,61.120945,1306011392.000000,0.014091,1.495918,0.474575
71.949875,9.895732,69.221481,1327462144.000000,0.014366,1.743988,0.544125
4.517396,94.492950,35.279106,1251188864.000000,0.016043,1.467014,0.474453
27.111692,37.442051,71.135674,1170346752.000000,0.012958,1.465069,0.428295
52.999367,84.684105,73.669197,1582616320.000000,0.015443,2.125826,0.669792
35.100365,6.927044,19.242823,2309161472.000000,0.015677,1.248678,0.395788
65.356949,59.840786,33.822136,1355518464.000000,0.015460,1.412647,0.448509
24.362396,91.738937,81.584045,2020909696.000000,0.018750,1.711027,0.557384
43.936325,76.737328,11.149603,2664711680.000000,0.013074,0.910610,0.221113
54.385414,65.508507,85.507896,1814748160.000000,0.012049,1.381767,0.403399
13.885784,30.841509,3.471844,1161436416.000000,0.014337,1.174965,0.343477
66.445335,57.919853,1.186971,1323826560.000000,0.015986,1.804279,0.586897
7.828835,70.100342,66.639534,1101947520.000000,0.014662,1.641416,0.562500
71.658218,76.433960,65.671104,1138561920.000000,0.014355,2.105046,0.650221
94.799759,98.408493,21.043686,7945332736.000000,0.015828,1.315918,0.402082
13.632257,40.958782,34.962814,1221571200.000000,0.017858,1.444414,0.442753
13.690749,0.614254,60.158775,3753392384.000000,0.017492,1.607897,0.547215
43.111439,10.915131,60.224167,1106581888.000000,0.011586,1.417963,0.426659
33.050888,24.634373,77.707336,1472267008.000000,0.012994,1.019636,0.233986
67.522591,48.214592,53.201595,1677532032.000000,0.015875,1.800626,0.595295
49.475853,14.904957,64.460747,1226560256.000000,0.014827,1.510326,0.488819
10.203128,88.981750,9.140479,1179614592.000000,0.014172,2.062706,0.617796
94.102951,89.843147,5.116958,1196811008.000000,0.013560,1.553677,0.540131
43.309738,17.347740,6.835256,2055195520.000000,0.016193,1.805185,0.581118
77.056473,48.212975,43.339226,1503029632.000000,0.013947,1.721905,0.565722
96.599899,87.831734,35.442570,1571021952.000000,0.015081,1.773706,0.577312
76.621536,83.980370,68.088280,2442921728.000000,0.016435,1.773502,0.601925
50.950092,43.743176,89.906136,1247795200.000000,0.013818,1.384428,0.428190
1.179292,59.220715,54.965645,1055318784.000000,0.007456,1.042322,0.219788
11.178575,84.937355,86.126343,1274780800.000000,0.014960,1.659070,0.544266
79.869415,44.440151,89.494003,1514808448.000000,0.012755,1.166052,0.331482
52.846684,56.481785,54.833057,1655117312.000000,0.015857,1.521757,0.482252
63.484509,99.374573,55.276207,1484718592.000000,0.013563,1.282602,0.393141
2.050289,81.477654,70.156471,2336724480.000000,0.016094,1.405590,0.424772
71.961189,23.007450,83.289734,1279568640.000000,0.014212,1.349306,0.447290
9.404895,84.702606,7.422209,1068200704.000000,0.013128,1.910583,0.554432
39.809216,1.499950,70.194420,1152238848.000000,0.014097,1.539387,0.491720
