#x,y,z,d_per(Mpc),d_long(Mpc),length_fil(Mpc),SM,Metal,u_minus_r,g_minus_r
19.349419,39.483616,61.288906,0.068037,254.470516,18.314268,11465397248.000000,0.019108,1.008108,0.274145
18.491949,32.796143,72.764473,0.640070,303.560203,35.997585,13081729024.000000,0.018246,2.364346,0.759317
24.942120,40.145622,65.885155,0.323164,248.810992,25.692231,21454729216.000000,0.019152,1.304729,0.402227
18.398554,35.951637,73.632973,0.050954,190.684611,9.851283,9714093056.000000,0.015667,1.876169,0.622366
19.122795,40.812172,55.480721,0.000028,0.000022,5.641557,17106639872.000000,0.018836,1.207067,0.370279
28.676991,38.674694,55.776558,1.583798,105.129062,25.692231,19638452224.000000,0.018761,1.738840,0.589268
15.318221,38.309483,81.611061,0.017723,0.070668,5.867446,1260928256.000000,0.012904,0.975153,0.253546
17.025400,37.523685,82.678345,0.106279,2.209792,5.867446,1079116416.000000,0.014121,1.335445,0.420145
15.372835,38.311069,81.724106,0.053651,0.169510,5.867446,4940148736.000000,0.012751,0.936512,0.217655
15.029937,38.340816,81.293259,0.000126,66.643237,9.851283,2225616384.000000,0.016247,1.761028,0.563595
15.280022,38.248459,81.612007,0.023440,0.041490,5.867446,10460682240.000000,0.018416,1.236526,0.377838
12.422481,38.931786,80.089035,0.170158,202.472394,5.867446,2413958400.000000,0.014198,1.339867,0.416416
16.595900,37.734062,82.173996,0.144624,1.542669,5.867446,1351065472.000000,0.010305,1.073931,0.260870
14.901672,38.257538,81.295692,0.056549,66.794396,5.867446,4464236544.000000,0.016397,1.407578,0.425648
15.032438,38.363899,81.466316,0.000047,66.585874,5.867446,4765844480.000000,0.017543,1.449236,0.475811
16.187986,41.254967,76.515152,2.354236,133.829019,9.851283,1433589888.000000,0.015651,1.204756,0.364685
13.004981,37.089832,77.303757,2.043747,135.856538,9.851283,2309687808.000000,0.015083,1.483837,0.516605
14.304464,38.194382,84.621353,1.077351,3.025030,9.851283,1650064256.000000,0.015073,1.446295,0.451677
17.666124,37.782349,83.458313,0.527639,3.048367,5.867446,1613315200.000000,0.011054,0.970987,0.260626
16.187239,39.769142,81.139038,1.720647,0.482536,5.867446,16424098816.000000,0.019372,1.888044,0.613098
17.119547,37.552349,82.697304,0.044213,2.287779,5.867446,16683555840.000000,0.020660,1.917521,0.642445
13.215878,37.761192,77.338257,1.508603,135.831046,9.851283,20052469760.000000,0.020410,1.327179,0.425442
12.698820,39.083107,80.262993,0.172857,202.556624,5.867446,25776590848.000000,0.015476,1.337940,0.407656
15.252490,38.283253,81.594727,0.000050,0.000022,9.851283,15764643840.000000,0.017298,1.729622,0.549292
13.121976,38.450020,80.370514,0.031668,202.491819,5.867446,66848276480.000000,0.023172,1.674976,0.559526
50.467731,17.581150,33.472824,0.883892,139.522900,12.722209,1190945920.000000,0.011238,1.465296,0.425890
46.724010,11.083759,39.700115,0.411502,1.700129,13.121075,1353208448.000000,0.012458,1.201328,0.375805
49.266766,15.808675,35.373436,0.128637,66.330659,13.121075,1929348096.000000,0.015215,1.420023,0.447939
50.919437,9.240627,32.980080,0.223103,35.207284,13.121075,2470500864.000000,0.015514,1.199516,0.363092
45.596931,8.344722,39.244411,0.000110,9.339427,6.406629,1653398016.000000,0.011771,1.527416,0.464857
50.278885,9.154689,34.250458,0.128745,33.981008,13.121075,1971384448.000000,0.014203,1.193632,0.372547
46.449837,11.883391,32.700397,2.558665,50.771544,13.121075,1187054208.000000,0.012799,0.928444,0.228970
52.085880,11.020420,36.491184,2.648714,35.143486,13.121075,1907896704.000000,0.013395,0.934177,0.233824
49.160023,13.279831,36.250511,1.286786,49.954949,13.121075,3172912896.000000,0.012789,1.303150,0.368090
49.508186,21.732569,32.456863,0.993909,68.913519,13.121075,3418455808.000000,0.013537,1.052828,0.290873
49.305183,18.833109,32.830223,0.290639,140.718599,12.722209,3418790144.000000,0.015965,1.521065,0.468985
50.580284,17.641100,32.660793,0.800431,121.727924,12.722209,11792147456.000000,0.019591,1.510122,0.491360
46.936661,11.357786,40.035633,0.766890,1.895796,13.121075,13022966784.000000,0.021530,1.598997,0.525650
50.390736,7.257330,35.091614,0.911305,36.233525,13.121075,10577943552.000000,0.020365,1.501200,0.491627
50.323925,8.813269,39.010960,2.663847,2.432122,6.406629,19256442880.000000,0.023062,2.375029,0.764532
49.604969,17.143158,35.107189,0.686216,139.304877,12.722209,31514980352.000000,0.019878,1.472900,0.474924
49.927750,9.833714,34.451431,0.128739,33.981020,13.121075,37579378688.000000,0.020408,1.415491,0.458654
53.083309,18.441206,26.701958,0.626149,100.583009,12.722209,1466205312.000000,0.013815,1.452953,0.472214
51.601349,18.576790,29.470148,0.274676,99.114709,12.722209,2547052032.000000,0.016811,1.160910,0.334776
56.285088,24.577221,28.022083,1.500290,27.416752,12.722209,1212697984.000000,0.013030,1.046261,0.275469
51.886242,17.229984,28.029593,0.962134,99.552029,12.722209,3735161088.000000,0.015792,1.811949,0.584051
54.380882,24.695868,27.890734,0.322301,26.521255,12.722209,5194519040.000000,0.016548,1.245272,0.379421
54.918354,27.149193,26.310314,1.043810,29.163528,12.722209,3841998592.000000,0.016550,1.356091,0.408283
53.129040,20.239317,26.886805,0.651676,76.736364,12.722209,8538919936.000000,0.018274,1.547525,0.500067
52.211803,17.767488,28.634638,0.290660,99.136806,12.722209,11602760704.000000,0.019100,1.417664,0.431702
54.593178,23.359154,27.449270,0.463193,107.015397,5.388844,8320605184.000000,0.016387,1.267431,0.380186
53.634960,22.298647,27.593670,0.342184,108.315296,5.388844,23736348672.000000,0.020429,2.266998,0.719723
53.117741,21.926050,28.052258,0.274639,51.934673,12.722209,31464747008.000000,0.018680,1.533037,0.488796
51.799564,18.493160,29.623816,0.314221,99.132902,12.722209,23875592192.000000,0.014274,1.910439,0.615868
31.824690,12.155327,10.632977,0.218838,2.191749,7.898997,1455388160.000000,0.021644,2.386942,0.759035
33.517681,8.920106,3.667285,2.253313,139.505048,5.392221,1774487040.000000,0.018788,2.204141,0.677010
31.803825,10.789520,10.931663,0.311300,165.433199,5.392221,1271896448.000000,0.012331,2.154061,0.682329
31.921707,10.515523,5.043918,0.461600,139.480671,5.392221,1395231872.000000,0.014566,1.832051,0.537481
33.443230,8.909238,3.663468,2.310230,139.473758,5.392221,2665165056.000000,0.016082,0.936293,0.246761
31.484985,10.865432,11.102285,0.235514,165.734840,5.392221,1999499008.000000,0.012821,2.128106,0.676197
37.516659,12.184853,7.546494,1.180317,2.461877,5.392221,3512605440.000000,0.014329,1.166969,0.341429
38.724136,13.095259,7.004701,1.129480,3.682959,5.392221,1428541184.000000,0.013989,1.419254,0.447985
31.488827,9.930245,4.975962,0.653594,139.871404,5.392221,4303404032.000000,0.017657,1.470612,0.488304
29.355160,10.578576,10.867046,0.115948,75.583807,7.202850,12161139712.000000,0.020307,1.311049,0.424324
30.627493,13.731811,11.260559,1.640950,2.236432,7.898997,1411972096.000000,0.011245,1.057060,0.262598
30.087683,10.314364,6.770197,0.912495,166.504920,5.392221,1103610368.000000,0.014115,1.709497,0.540291
35.454582,10.432560,6.197963,0.678227,83.619786,5.392221,2803681024.000000,0.015488,1.501402,0.453045
37.549770,12.105928,7.543669,1.147309,2.467974,5.392221,5369178624.000000,0.016874,1.798491,0.591679
28.372890,9.803856,6.887172,0.465729,112.178010,7.202850,2643587840.000000,0.014131,1.184017,0.353239
35.254726,10.358484,8.893106,0.430412,1.193918,7.368258,5241351680.000000,0.015918,1.455532,0.458010
33.431118,10.385950,6.713951,0.132809,137.454676,5.392221,4653817344.000000,0.015026,1.125765,0.328707
34.017239,9.040674,3.488471,1.913189,139.894572,5.392221,9577505792.000000,0.019192,1.614283,0.510046
33.684311,11.213377,10.632249,1.025990,31.483947,7.368258,4610076160.000000,0.018687,1.581758,0.534229
33.754375,8.665681,3.383639,2.381270,139.871680,5.392221,9527840768.000000,0.019766,1.315161,0.424515
33.897018,10.903857,5.163841,0.577934,138.185997,5.392221,4954158592.000000,0.015647,1.261702,0.399324
31.884922,10.582848,11.276246,0.218770,1.228905,7.898997,9885870080.000000,0.017052,2.237389,0.718508
33.719803,13.277334,9.524819,0.861275,4.466946,7.898997,9708882944.000000,0.022124,1.741074,0.583805
38.867844,12.666758,7.123878,0.872351,3.687479,5.392221,17439240192.000000,0.017054,1.191494,0.350744
33.315735,7.976175,2.542220,3.408207,140.423427,5.392221,7611779584.000000,0.013402,1.177809,0.326324
39.650475,12.495044,6.831245,0.446972,4.332835,5.392221,13843365888.000000,0.018749,2.294424,0.735525
31.862133,9.892163,11.313297,0.500284,1.298347,7.898997,19055554560.000000,0.021867,1.734648,0.582281
31.535336,9.973489,4.874661,0.697731,139.878726,5.392221,8494225920.000000,0.017068,1.050220,0.283535
32.865559,10.172452,4.562371,0.826014,139.178467,5.392221,19623983104.000000,0.021379,1.255590,0.393719
29.302883,10.515359,10.852466,0.158986,75.638076,7.202850,13267714048.000000,0.020690,1.343691,0.429081
35.233429,7.216356,8.815929,1.431709,3.301583,7.368258,45559386112.000000,0.027684,1.187866,0.358959
30.408491,10.252295,4.970420,0.197954,140.805524,5.392221,43598041088.000000,0.020289,1.504934,0.489571
31.815140,12.136947,10.674429,0.196295,2.151596,7.898997,54759329792.000000,0.021549,2.358168,0.756666
33.583466,8.878415,3.604654,2.260876,139.592041,5.392221,53358546944.000000,0.018163,1.447729,0.485510
40.842045,2.665178,26.876245,0.018819,0.039929,13.104198,5255050752.000000,0.022120,1.323235,0.473106
41.104374,2.549888,26.932163,0.062890,0.267507,5.413471,1063663232.000000,0.012658,2.214215,0.710371
40.792522,2.548782,26.985802,0.069569,0.192984,13.104198,1093358976.000000,0.012814,1.910780,0.588068
41.025616,2.317343,26.681019,0.100919,0.460294,12.171058,1030061824.000000,0.012266,1.717567,0.518503
45.155777,6.452775,24.372122,0.574622,147.362806,7.862722,1441937536.000000,0.014938,1.312319,0.422316
38.596878,12.211424,36.385056,0.361405,1.758864,18.640983,1246723328.000000,0.016325,2.008811,0.633841
44.870754,3.246685,23.555191,1.233662,19.804629,13.560619,1028948800.000000,0.012977,1.270445,0.383945
38.742954,9.970785,34.164051,0.341042,65.818440,13.560619,2361920000.000000,0.014127,1.214544,0.353926
40.539257,2.795594,27.822334,0.661418,167.599737,7.862722,2465573120.000000,0.018455,1.418743,0.465000
36.778774,4.345826,24.524073,0.000013,23.618301,5.413471,2688699904.000000,0.014054,1.439121,0.454750
41.252666,2.805017,26.611423,0.202270,14.481073,12.171058,5932411904.000000,0.017940,1.532166,0.503965
38.605293,14.600982,37.987362,0.317853,2.265617,18.640983,1280928128.000000,0.012971,1.211742,0.331430
44.456230,6.837051,27.116755,0.755786,32.371616,13.560619,1636438656.000000,0.012255,1.544348,0.478722
38.123787,11.624079,36.289673,0.000136,2.030939,18.640983,1544203904.000000,0.014484,1.503681,0.493353
42.462708,7.991004,29.103004,0.240843,44.994908,13.104198,3013227776.000000,0.016692,1.446220,0.442492
40.033066,6.797564,30.335913,1.590775,57.313811,13.104198,2229815808.000000,0.013264,1.014099,0.265661
41.919937,7.668591,29.252359,0.075338,44.925434,13.560619,5441924096.000000,0.015977,1.154110,0.324987
37.746395,12.951979,37.743595,0.732425,68.208847,13.560619,3442649856.000000,0.015928,1.495264,0.490522
45.014854,9.717810,31.121983,2.496719,47.615747,13.104198,2924894208.000000,0.016629,1.769129,0.590452
38.879570,9.911512,33.754951,0.294413,66.196602,13.560619,3337099264.000000,0.014660,1.683659,0.537184
44.120632,9.210961,30.094368,1.581551,46.605303,13.104198,2507117568.000000,0.015073,1.338484,0.412773
40.843376,7.274262,30.306789,0.758635,57.086616,13.104198,3871408896.000000,0.015533,1.395851,0.416376
41.092907,2.766629,26.951775,0.000058,14.257865,12.171058,11421117440.000000,0.020069,1.456957,0.477495
41.749588,3.759199,26.313774,0.000067,15.216463,13.104198,2959021312.000000,0.016560,1.339340,0.426010
39.991768,7.975531,31.973150,0.253648,58.605394,13.104198,5746654720.000000,0.016597,1.519279,0.467104
43.051483,8.435301,29.155470,0.633406,45.375984,13.104198,7680982528.000000,0.015849,1.298033,0.388462
43.192032,12.097767,36.098915,3.430340,76.296293,13.104198,9494982656.000000,0.018172,1.732983,0.583338
35.297337,11.161188,34.561504,2.698136,3.759882,18.640983,11583025152.000000,0.018931,1.536118,0.491655
39.624897,5.964700,30.947273,2.380030,57.798849,13.104198,12044892160.000000,0.023166,1.204582,0.374460
38.186722,12.666095,36.840599,0.000022,0.000004,18.640983,23077976064.000000,0.020593,1.410259,0.459587
38.571827,11.927477,36.205601,0.485810,1.778518,18.640983,24567556096.000000,0.019572,1.400972,0.452164
43.358616,4.299538,24.539543,0.235871,147.677684,7.862722,53612965888.000000,0.017138,1.741013,0.584587
40.876175,2.681163,26.853262,0.000023,0.000039,5.413471,74861903872.000000,0.019188,1.589354,0.505676
26.158453,7.175818,23.936434,0.037780,2.269171,20.546079,1394475904.000000,0.012461,0.899824,0.224277
25.008066,8.912457,19.968199,0.000022,5.062517,9.454254,1539129216.000000,0.014251,1.437065,0.442480
26.155363,7.138312,23.928566,0.000067,2.262069,20.546079,2284252416.000000,0.017250,1.933840,0.666403
26.377903,6.910731,23.941170,0.199550,0.102818,20.546079,3503927296.000000,0.016115,1.416847,0.435120
24.580055,9.534679,20.093815,0.558858,5.509902,9.454254,1156886528.000000,0.006168,0.949810,0.237000
29.504957,7.309942,22.027660,0.313973,24.249605,9.454254,1046572480.000000,0.013254,1.695901,0.553209
25.737427,7.517554,25.351755,0.612203,4.247642,20.546079,1236746496.000000,0.013171,1.515295,0.518688
24.899422,7.113554,25.770403,0.072623,5.086213,20.546079,1528878080.000000,0.012128,1.479532,0.420525
29.294100,5.113257,26.252201,0.524273,11.656610,20.546079,1495897216.000000,0.013043,0.967806,0.261913
28.378885,8.219996,21.494469,0.553813,5.746456,14.471198,1527685504.000000,0.014364,1.375668,0.439659
28.779064,4.201911,27.053263,0.234425,52.531661,12.171058,1250665088.000000,0.015261,1.341101,0.416216
20.947460,4.744696,30.890705,0.489904,19.250420,14.471198,1128100480.000000,0.013386,1.491512,0.480747
23.818504,1.787591,32.035728,1.473604,14.387765,14.471198,1678436736.000000,0.012483,1.326895,0.374346
16.765072,4.971877,34.270824,2.226087,72.960062,15.798208,1136057344.000000,0.013215,1.076046,0.281933
23.766861,2.470484,31.443592,1.340130,12.532571,20.546079,2029235968.000000,0.016960,1.466885,0.451492
28.701576,3.640032,28.192003,0.000063,10.143972,12.451128,1379255808.000000,0.012215,1.136202,0.300085
25.243210,8.322662,22.006578,0.653619,4.524526,20.546079,1956109312.000000,0.016044,1.664598,0.561275
26.171352,7.016570,24.131693,0.118975,0.159368,20.546079,23497723904.000000,0.020480,1.168949,0.352551
25.273880,2.761420,30.377064,1.181981,11.370017,20.546079,1113006592.000000,0.012060,1.375513,0.430571
24.853344,6.517436,25.727303,0.399029,7.081070,7.900794,2289761536.000000,0.014357,1.458149,0.441767
22.100666,5.662991,29.754282,0.391509,19.232544,14.471198,1467763328.000000,0.013972,1.747250,0.540541
17.383760,9.625690,31.888290,0.581724,70.023799,15.798208,1060868672.000000,0.012359,1.445068,0.470512
26.340361,4.469083,28.292526,0.083885,8.571552,20.546079,1096263424.000000,0.013163,1.424879,0.451698
28.003649,8.603426,19.633684,0.398519,13.025404,9.454254,2342649344.000000,0.015240,1.840960,0.571690
25.787897,5.159559,27.479004,0.083865,8.571577,20.546079,3235078144.000000,0.017240,1.423420,0.419346
24.921793,5.523032,27.077648,0.308824,6.871326,20.546079,1906887936.000000,0.012625,1.141844,0.320004
25.778978,5.496351,26.524477,0.576535,6.591681,20.546079,2402122752.000000,0.013573,1.045425,0.279222
19.491278,7.538929,30.885698,0.391509,19.232582,14.471198,5172068352.000000,0.018155,1.443108,0.463717
16.453678,6.406833,33.421925,1.291009,71.632399,15.798208,2095234304.000000,0.014717,1.085108,0.302706
27.972946,5.633418,28.208487,0.027368,53.052025,12.171058,3442000640.000000,0.017647,1.638588,0.488029
16.049414,7.888349,33.054604,0.526182,46.022098,14.471198,4375840768.000000,0.017228,1.388294,0.452015
28.736780,7.368838,22.949194,0.460465,25.288442,9.454254,4635603968.000000,0.014703,1.007792,0.281090
23.635447,6.790000,27.123301,0.389682,8.066595,20.546079,7647964160.000000,0.019860,1.465317,0.484219
16.556934,8.064616,32.749256,0.192882,45.736559,14.471198,6325703168.000000,0.015622,1.659641,0.527618
24.885271,8.849693,19.953564,0.000037,0.000028,9.454254,15730258944.000000,0.019099,1.410242,0.447237
21.089291,6.705245,29.777273,0.427335,18.031606,14.471198,11586613248.000000,0.014987,0.997202,0.232689
28.662550,7.922651,19.800682,0.046038,23.180518,9.454254,64771784704.000000,0.023846,2.451065,0.783285
26.256895,7.083760,24.017437,0.000032,0.000019,20.546079,50986717184.000000,0.017423,1.315294,0.409847
20.040754,21.691448,38.550236,0.566762,2.455287,11.093852,1387419136.000000,0.015992,2.244234,0.705973
17.979366,20.218874,33.589001,0.269166,36.478925,11.093852,3109185024.000000,0.016295,1.240950,0.368862
19.886120,21.042582,37.681873,0.456713,1.338816,11.093852,2727580416.000000,0.015180,1.449652,0.448048
19.063803,20.839069,36.549023,0.000028,0.000026,11.093852,4537400832.000000,0.016900,1.383228,0.424316
17.150873,21.455446,32.804256,0.000057,36.558566,11.093852,1356296064.000000,0.016295,1.710808,0.574354
20.081762,21.745121,38.615059,0.562085,2.535333,11.093852,12957008896.000000,0.011823,2.107935,0.680098
17.127520,21.061760,38.201588,1.236769,153.343399,21.398227,1173916800.000000,0.011894,1.191151,0.360552
17.376480,19.532494,31.686485,0.621431,52.558507,11.093852,3002052352.000000,0.014158,1.139442,0.323839
16.779514,20.740940,31.179695,0.269118,52.903447,11.093852,2167367680.000000,0.016704,1.051140,0.332859
16.432785,22.562582,32.435604,1.106040,37.255853,11.093852,2253880832.000000,0.012864,1.224382,0.338291
