 8.04861 52.9888 27.9237
 7.9916 54.9307 29.9369
 8.53309 56.6494 32.0926
 10.33 57.2068 33.4444
 11.7756 57.4804 34.1511
 11.1516 58.0851 34.5645
 9.26435 58.5483 34.7431
 6.62096 57.9069 36.3813
 5.24667 57.1864 38.2211
 5.21458 57.2297 38.4457
 5.0231 58.6641 39.0688
 4.63854 60.6271 39.0251
 4.8672 63.6621 38.1213
 4.57215 66.9965 38.6288
 3.0054 68.186 38.9526
 1.53375 69.1414 38.5289
 0.598574 70.255 38.7737
 1.37951 72.7047 38.6833
 2.58933 74.8737 39.6911
 2.62902 75.587 41.7545
 3.31633 76.2444 43.6093
 4.31981 76.5648 44.77
 4.87089 76.4297 45.5043
 5.16017 76.206 46.0143
 5.24023 75.8947 46.4004
 5.41138 75.6443 47.1085
 5.56845 75.6268 47.5014
 5.66078 75.6127 47.545
