1470
437 221 6
 90.8354 17.1545 89.9797
 90.3715 13.1011 95.6659
 92.7355 11.4303 96.0699
 95.2962 11.168 97.2403
 95.0297 12.2371 98.159
 95.2177 12.3821 98.1764
437 299 7
 90.8354 17.1545 89.9797
 89.635 21.0929 83.2121
 86.4756 25.9256 82.8977
 84.2946 30.3883 83.7703
 84.0338 29.9332 84.7753
 83.8645 29.715 86.5167
 83.9906 29.9524 87.2827
438 219 10
 19.4091 35.301 73.4213
 19.0378 33.8229 72.5545
 20.6572 36.3746 67.7944
 22.2572 37.9293 62.3441
 23.2515 37.9911 62.1023
 23.3233 38.4746 59.9308
 24.3633 39.0681 57.1954
 22.4745 39.7612 56.2768
 19.6943 40.5374 55.8281
 19.1228 40.8122 55.4807
438 256 5
 19.4091 35.301 73.4213
 18.939 35.7823 73.9285
 16.7464 37.1333 77.5287
 15.1412 38.312 81.444
 15.2525 38.2833 81.5947
439 16 6
 49.286 17.3209 34.1018
 49.5973 12.8212 34.9124
 50.1033 9.4942 34.3509
 48.7432 10.1272 36.2346
 47.4883 10.2852 38.2859
 47.4178 10.1498 38.5541
439 371 7
 49.286 17.3209 34.1018
 50.4533 18.7049 31.1502
 51.9066 18.1721 29.0524
 52.3595 20.2514 28.7612
 53.6687 22.8894 28.0642
 53.8972 23.9385 28.2687
 53.5747 24.0243 28.4612
440 428 7
 32.6175 10.5877 8.82281
 33.8112 10.5355 6.5727
 34.3339 10.7001 6.55726
 34.9415 10.5933 7.26542
 35.5813 10.5413 7.83462
 35.9002 10.6165 7.90172
 36.044 10.6219 7.98197
440 420 5
 32.6175 10.5877 8.82281
 31.8444 10.6862 11.104
 31.5183 10.6756 11.6366
 31.0352 10.7386 12.0111
 30.9188 10.7087 12.0252
441 337 6
 38.7257 10.9195 34.9803
 40.6711 8.95126 31.429
 42.1913 7.8298 29.1777
 41.8348 5.71389 27.7831
 41.3129 3.22018 26.5835
 40.8762 2.68116 26.8533
441 214 3
 38.7257 10.9195 34.9803
 38.3793 12.2968 36.5231
 38.1867 12.6661 36.8406
442 424 5
 85.4191 45.4505 23.4542
 85.3062 46.5235 22.9704
 85.0299 47.4592 22.5235
 84.9374 47.6848 22.4941
 84.9772 47.7699 22.6283
442 193 4
 85.4191 45.4505 23.4542
 85.4268 44.9372 23.8324
 85.5455 44.6982 24.0196
 85.6253 44.6946 24.0292
443 333 8
 16.9703 8.84515 32.3188
 18.0241 7.80177 31.8175
 20.796 6.60096 30.32
 23.9443 5.41127 28.6166
 25.3437 6.13656 26.6247
 25.5274 7.12593 24.8495
 26.2061 7.11104 23.973
 26.2569 7.08376 24.0174
443 164 5
 16.9703 8.84515 32.3188
 17.6816 14.9223 32.7386
 17.5651 20.8372 33.1966
 18.1073 21.1473 34.6766
 19.0638 20.8391 36.549
444 25 4
 85.2376 82.8668 36.5852
 85.1296 82.5658 38.3991
 85.2135 82.4975 38.8037
 85.1604 82.4556 38.8466
444 334 4
 85.2376 82.8668 36.5852
 85.4176 83.1356 34.4097
 85.3226 83.1597 33.6163
 85.2926 83.1895 33.5462
445 340 11
 33.6963 12.9496 58.9251
 34.5045 16.1465 58.3352
 35.32 16.7402 57.7641
 36.4155 16.9699 56.8196
 37.8529 17.4148 55.9688
 39.8693 18.15 54.9259
 40.7298 18.8328 54.466
 41.9295 19.525 53.5805
 42.9173 20.266 52.6987
 43.0318 21.0216 52.7046
 43.1995 21.1078 52.6782
445 140 3
 33.6963 12.9496 58.9251
 32.5033 9.59373 59.6851
 32.2755 9.29889 59.7782
446 389 11
 20.6306 22.928 40.3839
 24.6143 24.3274 44.3245
 29.0415 24.6387 46.4649
 30.3865 24.4648 46.3915
 31.4738 24.2787 46.1376
 32.5566 24.3657 45.773
 33.9634 25.4659 46.3046
 36.4744 26.6954 46.9541
 38.2105 27.1296 47.119
 38.5244 27.4193 47.3659
 38.5363 27.4122 47.3983
446 164 3
 20.6306 22.928 40.3839
 19.5636 21.294 37.5746
 19.0638 20.8391 36.549
447 398 7
 5.38671 20.7158 67.36
 4.34561 21.2087 68.179
 4.26916 21.4176 68.4135
 4.26496 21.8875 68.7981
 4.3951 22.5896 69.187
 4.46388 22.9892 69.3168
 4.45869 23.0112 69.3002
447 24 3
 5.38671 20.7158 67.36
