#x,y,z,d_per(Mpc),d_long(Mpc),length_fil(Mpc),Mass,SM,GALEX_FUV,GALEX_NUV,SDSS_r,g_minus_r,u_minus_r
46.231602,45.511875,96.829254,0.517146,478.740765,20.171297,159770607616.000000,1041020736.000000,-16.079115,-16.083395,-17.875418,0.354996,1.211205
47.471451,45.709602,95.825096,0.299296,528.528440,27.256899,166938034176.000000,2394821632.000000,-16.094591,-16.154455,-18.586340,0.437250,1.408789
48.858063,43.395191,90.768723,0.017372,620.768564,29.955976,220887711744.000000,15389402112.000000,-18.641733,-18.724260,-20.691441,0.354919,1.209391
49.232071,44.033440,89.899055,1.261461,664.211351,29.955976,266820911104.000000,2044057088.000000,-16.179293,-16.291983,-18.564457,0.388149,1.282640
46.697655,45.960548,96.546791,0.007606,528.269204,20.171297,348399861760.000000,15174643712.000000,-17.013741,-17.051779,-19.856487,0.498110,1.493357
46.588680,45.464382,96.105843,0.399560,528.393640,27.256899,387368583168.000000,5942915584.000000,-16.199923,-16.346252,-19.318703,0.543886,1.640188
40.726959,40.234325,94.394745,0.022187,221.116284,20.171297,906871242752.000000,9680401408.000000,-18.603722,-18.639978,-20.355101,0.311773,1.101440
46.851223,46.009090,96.568916,0.026498,528.264103,20.171297,1799961051136.000000,27131346944.000000,-18.327679,-18.395702,-20.900442,0.378384,1.249096
45.456837,45.568333,96.125099,0.181263,479.133376,20.171297,4005660721152.000000,67614347264.000000,-18.932667,-19.073116,-21.705959,0.476032,1.482740
48.798843,43.290756,90.950050,0.108749,620.673836,27.256899,6058436722688.000000,49469984768.000000,-17.130434,-17.245081,-20.692574,0.651945,1.934639
50.523720,44.089565,79.514053,0.656957,55.955835,17.308793,128964386816.000000,1663141504.000000,-16.003447,-16.107670,-18.325029,0.374741,1.245686
50.620148,44.565960,80.038010,1.115402,81.960535,8.787861,360407793664.000000,5142825984.000000,-16.264576,-16.340948,-18.900078,0.492830,1.504538
51.024849,44.814697,79.851128,0.089778,80.960014,8.787861,382367760384.000000,6518066176.000000,-16.503721,-16.600344,-19.389328,0.496401,1.517807
19.712175,38.085636,2.993043,0.000044,96.246865,6.913683,49356546048.000000,1176702592.000000,-15.422071,-15.517586,-17.866608,0.371098,1.216873
26.300953,38.727596,3.338030,0.170177,23.075384,32.078420,68543909888.000000,2136096896.000000,-15.865952,-16.073727,-18.625635,0.419844,1.434719
14.727303,35.276764,11.729664,0.605460,133.528022,32.078420,136711667712.000000,1003079168.000000,-16.245018,-16.288355,-18.089474,0.317448,1.132889
16.623066,38.145714,6.690431,0.083560,106.657350,32.078420,239050981376.000000,24679335936.000000,-16.254877,-16.581516,-20.460938,0.523712,1.617472
21.075527,38.220688,4.053394,0.447160,80.737443,32.078420,241508155392.000000,2509209856.000000,-17.367964,-17.419199,-19.309547,0.258106,1.008570
