 1.57975 53.826 29.2236
 4.92219 54.9627 30.2973
 6.98218 56.2055 32.9919
 5.51308 56.7354 36.3915
 5.29434 57.2023 38.3948
 4.98727 58.9933 39.2781
 4.70811 61.5685 40.4122
 4.37612 65.0845 40.4411
 3.07804 68.1524 39.1764
 1.53375 69.1414 38.5289
 0.598574 70.255 38.7737
 1.37951 72.7047 38.6833
 2.58933 74.8737 39.6911
 2.5546 75.411 41.7067
 2.52159 75.8037 42.6769
 1.63812 75.3116 45.2987
 0.892711 74.2574 47.7828
 1.16809 73.446 47.7205
 1.97871 73.0314 47.8186
 2.89032 72.7256 47.9392
 3.04333 72.5293 47.8706
 3.00398 73.1175 47.6888
 3.22627 73.8756 47.5043
 3.4721 74.068 47.4619
