#field_value,log_field_value,mass,RA,DEC,Z
10.768,2.3766,1,196.87,35.492,0
3.8185,1.3399,1,196.1,35.557,0
9.0676,2.2047,1,198.97,35.294,0
0.75609,-0.2796,1,178.8,37.995,0
3.9677,1.3782,1,168.23,37.053,0
116.06,4.7541,1,167.57,36.909,0
18.922,2.9403,1,167.73,36.898,0
321.84,5.7741,1,167.51,36.935,0
11.445,2.4376,1,167.48,36.946,0
60.733,4.1065,1,167.56,36.967,0
159.5,5.072,1,167.47,37.002,0
29.134,3.3719,1,167.36,37.026,0
5.0453,1.6185,1,167,36.872,0
3.5064,1.2546,1,194.41,35.72,0
167.91,5.1234,1,195.82,28.03,0
349.2,5.8557,1,195.53,28.151,0
110.88,4.7084,1,195.6,27.972,0
110.14,4.7018,1,195.49,28.006,0
2.446,0.89447,1,169.97,29.774,0
6.9914,1.9447,1,171.99,13.184,0
13.929,2.634,1,171.11,29.867,0
1.6516,0.50176,1,171.62,29.872,0
4.6336,1.5333,1,174.31,30.158,0
1.204,0.18566,1,174.3,30.128,0
1.2314,0.20818,1,171.87,12.484,0
0.97139,-0.029025,1,174.31,13.259,0
8.5262,2.1431,1,177.01,30.359,0
2.9597,1.0851,1,176.93,30.233,0
55.863,4.0229,1,178.01,30.32,0
9.9476,2.2973,1,177.85,30.413,0
18.4,2.9124,1,178.05,30.297,0
889.12,6.7902,1,181.77,28.329,0
60.202,4.0977,1,181.77,28.387,0
55.378,4.0142,1,181.71,28.351,0
77.209,4.3465,1,195.66,28.115,0
209.06,5.3426,1,195.86,28.014,0
220.04,5.3938,1,195.88,28.092,0
116.54,4.7583,1,195.75,28.032,0
63.618,4.1529,1,195.84,27.936,0
15.498,2.7407,1,183.62,28.423,0
196.03,5.2783,1,195.74,28.07,0
15.242,2.7241,1,184.85,30.501,0
78.003,4.3568,1,195.96,28.054,0
5.6218,1.7267,1,185.1,30.521,0
8.7877,2.1734,1,183.98,28.378,0
7.8044,2.0547,1,184.55,28.544,0
38.819,3.6589,1,184.58,28.528,0
112.09,4.7193,1,184.87,28.469,0
1356.2,7.2125,1,195.9,28.098,0
18.238,2.9035,1,196.03,27.965,0
137.74,4.9253,1,195.94,27.987,0
270.3,5.5995,1,195.94,28.084,0
58.824,4.0745,1,196.65,27.873,0
44.712,3.8003,1,196.58,28.053,0
9.7947,2.2818,1,185.11,30.454,0
491.31,6.1971,1,184.97,28.423,0
162.93,5.0933,1,184.84,28.537,0
309.1,5.7337,1,184.97,28.386,0
1906.9,7.5532,1,184.96,28.405,0
429.3,6.0621,1,184.91,28.408,0
379.56,5.939,1,185.04,28.389,0
87.22,4.4684,1,185.25,28.535,0
116.56,4.7584,1,185.01,28.445,0
231.84,5.446,1,185.09,28.413,0
69.326,4.2388,1,185.76,28.413,0
20.368,3.014,1,185.74,28.494,0
223.82,5.4108,1,185.56,28.357,0
97.474,4.5796,1,185.68,28.386,0
11.109,2.4078,1,186.33,28.381,0
30.274,3.4103,1,186.54,28.434,0
52.301,3.957,1,186.4,28.449,0
3.8272,1.3421,1,187.47,28.526,0
14.764,2.6922,1,191.99,28.174,0
6.1197,1.8115,1,192.1,28.307,0
6.7886,1.9152,1,192.86,28.121,0
36.979,3.6103,1,193.47,28.187,0
61.601,4.1207,1,193.54,28.093,0
25.857,3.2526,1,193.28,28.241,0
70.466,4.2551,1,193.33,28.211,0
51.277,3.9372,1,193.82,28.252,0
89.208,4.491,1,193.74,28.126,0
71.63,4.2715,1,193.95,28.256,0
110.29,4.7031,1,194.19,28.052,0
458.47,6.1279,1,194.4,28.04,0
1061.7,6.9677,1,194.16,28.081,0
307.45,5.7283,1,194.22,28.188,0
281.26,5.6393,1,194.46,28.17,0
135.54,4.9093,1,194.16,28.106,0
2.5319,0.92896,1,199.66,13.122,0
10.254,2.3277,1,187.24,32.674,0
10.25,2.3273,1,194.89,32.291,0
41.664,3.7296,1,174.87,22.373,0
6.2709,1.8359,1,176.36,32.252,0
3.1431,1.1452,1,196.38,32.067,0
11.511,2.4433,1,165.64,23.892,0
2.8711,1.0547,1,176.94,32.318,0
16.642,2.8119,1,182.77,17.941,0
394.57,5.9778,1,183.3,32.636,0
14.509,2.6748,1,176.31,32.312,0
4.8085,1.5704,1,187.13,32.548,0
9.3673,2.2372,1,195.76,32.211,0
28.394,3.3462,1,182.2,32.538,0
3.1936,1.1611,1,198.9,31.844,0
6.2135,1.8267,1,198.95,31.846,0
34.981,3.5548,1,199.22,31.711,0
8.5862,2.1502,1,165.16,23.835,0
21.121,3.0503,1,165.47,23.903,0
1.446,0.36881,1,167.87,18.992,0
4.5895,1.5238,1,167.37,18.947,0
4.0431,1.397,1,166.96,18.991,0
45.928,3.8271,1,167.21,21.598,0
134.82,4.9039,1,167.39,21.641,0
686.68,6.5319,1,167.4,21.684,0
792.54,6.6752,1,167.39,21.665,0
1.7628,0.56688,1,178.8,32.364,0
206.65,5.331,1,167.41,21.718,0
37.846,3.6335,1,167.51,21.684,0
691.95,6.5395,1,167.42,21.74,0
597.97,6.3935,1,167.44,21.759,0
2.6616,0.97891,1,168.74,21.856,0
14.251,2.6568,1,172.05,21.997,0
21.244,3.0561,1,183.29,32.596,0
74.616,4.3123,1,172.44,22.127,0
12.042,2.4884,1,193.67,32.367,0
31.196,3.4403,1,193.57,32.369,0
16.147,2.7817,1,193.47,32.242,0
55.305,4.0129,1,193.27,32.327,0
7.0174,1.9484,1,193.89,32.206,0
65.003,4.1744,1,172.42,22.115,0
8.6131,2.1533,1,181.57,32.657,0
23.6,3.1613,1,182.08,32.592,0
16.716,2.8164,1,176.03,22.434,0
12.446,2.5214,1,181.82,32.669,0
16.873,2.8257,1,176.1,22.424,0
17.409,2.857,1,176.48,22.456,0
4.3803,1.4771,1,177.77,22.516,0
13.531,2.605,1,182.43,32.658,0
7.1725,1.9703,1,179.14,22.462,0
6.2266,1.8288,1,181.76,18.532,0
5.6671,1.7347,1,184.55,18.093,0
1.9033,0.64357,1,185.37,18.107,0
17.097,2.8389,1,182.42,32.476,0
4.009,1.3886,1,198.99,17.165,0
8.7188,2.1655,1,201.7,16.903,0
6.1356,1.8141,1,201.62,16.98,0
114.36,4.7394,1,201.62,16.957,0
3.2613,1.1821,1,183.74,19.516,0
5.7052,1.7414,1,182.84,18.6,0
9.3964,2.2403,1,183.34,19.499,0
4.956,1.6006,1,182.49,19.355,0
18.848,2.9364,1,182.26,32.669,0
6.4023,1.8567,1,181.11,19.381,0
18.705,2.9288,1,182.82,32.594,0
4.3015,1.459,1,185.32,19.499,0
5.5107,1.7067,1,183.17,19.439,0
38.949,3.6622,1,183.27,32.613,0
12.98,2.5634,1,183.34,32.674,0
1.1447,0.13512,1,185.68,18.549,0
2.5069,0.91904,1,190.14,32.581,0
3.6503,1.2948,1,195.69,32.085,0
9.7558,2.2779,1,168.89,26.969,0
12.242,2.5048,1,168.92,26.912,0
31.783,3.4589,1,202.43,16.768,0
11.915,2.4778,1,202.65,16.84,0
1.8771,0.62971,1,188.69,19.423,0
5.7914,1.7564,1,165.15,26.51,0
13.385,2.5941,1,180.47,22.531,0
28.224,3.3402,1,181.2,32.497,0
9.554,2.257,1,180.4,22.593,0
6.6011,1.8872,1,181.15,32.597,0
5.0606,1.6215,1,193.24,32.412,0
6.2127,1.8266,1,173.14,22.116,0
26.825,3.2893,1,173.37,22.112,0
6.9578,1.9399,1,173.91,22.316,0
3.1811,1.1572,1,199.89,16.987,0
0.92148,-0.081777,1,191.96,19.384,0
3.6728,1.301,1,192.49,32.389,0
6.415,1.8586,1,179.6,22.467,0
1.9483,0.66697,1,166.33,21.62,0
4.3067,1.4602,1,167.23,26.611,0
4.8622,1.5815,1,167.88,26.861,0
15.59,2.7467,1,169.16,26.986,0
17.049,2.8361,1,169.28,26.902,0
1.2441,0.21842,1,187.15,18.59,0
2.221,0.79796,1,193.23,17.454,0
7.9205,2.0694,1,199.25,12.862,0
19.949,2.9932,1,198.46,17.076,0
6.3687,1.8514,1,198.22,17.154,0
30.854,3.4293,1,198.74,17.225,0
26.523,3.278,1,198.72,17.233,0
59.723,4.0897,1,201.67,16.874,0
1.6382,0.49362,1,200.93,17.027,0
3.0908,1.1284,1,199.55,31.782,0
10.776,2.3773,1,199.62,31.777,0
11.283,2.4233,1,183.05,18.094,0
9.6726,2.2693,1,183.12,17.972,0
22.002,3.0911,1,179.9,22.442,0
35.977,3.5829,1,179.88,22.531,0
9.9709,2.2997,1,180.2,22.435,0
15.309,2.7285,1,180.3,22.617,0
4.0174,1.3906,1,168.11,21.78,0
71.803,4.2739,1,203.49,17.714,0
130.03,4.8677,1,203.62,17.756,0
104.78,4.6518,1,203.65,17.722,0
1.4002,0.33662,1,186.84,18.715,0
5.3458,1.6763,1,190.62,19.466,0
17.321,2.8519,1,198.99,17.165,0
1.9404,0.66289,1,184.21,15.167,0
24.837,3.2123,1,195.2,14.482,0
59.037,4.0782,1,168.3,28.012,0
27.788,3.3246,1,168.28,28.054,0
15.917,2.7674,1,197.86,30.62,0
176.31,5.1722,1,197.82,30.488,0
77.726,4.3532,1,197.85,30.599,0
4.8208,1.5729,1,197.77,30.483,0
5.1418,1.6374,1,168.72,36.421,0
301.43,5.7085,1,168.85,36.501,0
16.794,2.821,1,169.09,36.524,0
26.131,3.2631,1,168.79,36.585,0
249.89,5.521,1,168.78,36.54,0
211.01,5.3519,1,168.81,36.568,0
13.465,2.6001,1,167.37,36.243,0
5.7275,1.7453,1,167.19,36.309,0
40.275,3.6957,1,167.12,36.207,0
7.8253,2.0574,1,186.96,26.994,0
3.3846,1.2192,1,190.58,14.108,0
3.1829,1.1578,1,192.85,14.081,0
6.102,1.8086,1,178.66,28.978,0
5.5769,1.7186,1,180.4,28.968,0
7.4884,2.0134,1,179.23,28.846,0
39.419,3.6742,1,179.29,28.887,0
25.741,3.2481,1,184.79,28.976,0
198.79,5.2922,1,184.85,28.99,0
1.1942,0.17748,1,196.48,13.985,0
11.351,2.4293,1,200.23,30.187,0
6.6068,1.8881,1,200.65,30.317,0
11.736,2.4627,1,184.85,29.024,0
43.358,3.7695,1,183.86,29.113,0
7.7268,2.0447,1,183.78,29.019,0
6.456,1.865,1,186.66,29.633,0
16.221,2.7863,1,186.45,29.663,0
3.688,1.3051,1,185.52,29.069,0
6.4128,1.8583,1,187.29,26.96,0
12.594,2.5332,1,188.43,29.628,0
2.4385,0.8914,1,188.18,29.712,0
32.506,3.4814,1,187.72,28.972,0
5.6262,1.7274,1,186.79,28.957,0
8.8859,2.1845,1,186.36,29.738,0
4.0624,1.4018,1,166.54,36.181,0
373.04,5.9217,1,189.05,26.941,0
319.81,5.7677,1,189.01,26.987,0
135.02,4.9055,1,189.09,26.937,0
121.07,4.7964,1,188.92,26.929,0
11.936,2.4796,1,169.6,36.509,0
9.0369,2.2013,1,169.23,36.658,0
4.5723,1.52,1,169.73,36.674,0
98.657,4.5916,1,188.93,26.909,0
75.753,4.3275,1,188.97,26.992,0
65.834,4.1871,1,188.78,26.909,0
287.2,5.6602,1,188.98,26.819,0
29.578,3.387,1,188.61,26.935,0
2.1766,0.77779,1,165.66,36.056,0
3.6514,1.2951,1,204.23,29.801,0
18.449,2.915,1,172.39,21.726,0
56.404,4.0325,1,168.9,36.509,0
28.766,3.3592,1,168.78,36.405,0
127.32,4.8467,1,168.93,36.554,0
2.5917,0.95232,1,172.58,36.926,0
158.48,5.0656,1,188.75,26.884,0
24.609,3.2031,1,198.46,13.768,0
4.1582,1.4251,1,189.56,28.937,0
7.1369,1.9653,1,189.57,28.883,0
4.0497,1.3986,1,188.14,14.58,0
1.2068,0.18798,1,188.17,14.695,0
2.5856,0.94997,1,192.57,14.073,0
2.202,0.78936,1,195.84,14.378,0
1.1765,0.16259,1,195.09,14.007,0
4.9908,1.6076,1,189.84,28.913,0
