#field_value,log_field_value,mass,RA,DEC,Z
7.1552,1.9678,1,199.94,29.693,0
7.5439,2.0207,1,201.33,29.494,0
33.833,3.5214,1,196.08,28.468,0
6.94,1.9373,1,196.91,29.927,0
81.591,4.4017,1,195.79,28.49,0
120.07,4.7881,1,195.54,28.387,0
184.3,5.2166,1,195.55,28.457,0
145.69,4.9815,1,195.71,28.482,0
126.64,4.8413,1,195.74,28.376,0
421.2,6.0431,1,195.08,28.439,0
108.64,4.6881,1,195.12,28.456,0
128.75,4.8578,1,195.18,28.416,0
39.613,3.6792,1,195.31,28.522,0
70.178,4.251,1,194.84,28.441,0
180.48,5.1956,1,194.85,28.489,0
137.47,4.9234,1,195.06,28.458,0
56.856,4.0405,1,195.01,28.435,0
74.1,4.3054,1,194.73,28.464,0
71.869,4.2748,1,194.9,28.551,0
122.24,4.806,1,194.92,28.507,0
109.61,4.6969,1,194.47,28.5,0
51.305,3.9378,1,194.56,28.522,0
11.295,2.4244,1,193.85,28.571,0
4.1141,1.4144,1,194.06,30.2,0
5.1012,1.6295,1,194.6,30.143,0
7.054,1.9536,1,194.92,30.247,0
8.887,2.1846,1,184.07,30.417,0
6.2817,1.8376,1,188.55,28.874,0
4.8935,1.5879,1,187.75,28.829,0
22.135,3.0972,1,189.7,28.842,0
3.4543,1.2396,1,189.58,30.526,0
4.6782,1.5429,1,189.34,30.474,0
9.3997,2.2407,1,189.78,30.407,0
26.329,3.2707,1,191.4,28.762,0
3.9379,1.3706,1,191.98,30.374,0
1.9448,0.66516,1,180.51,18.78,0
73.437,4.2964,1,196.83,18.595,0
25.406,3.235,1,166.63,20.077,0
3.3289,1.2026,1,165.69,19.911,0
6.2412,1.8312,1,166.69,20.061,0
2.8993,1.0645,1,170.28,20.438,0
16.711,2.8161,1,172.74,20.428,0
14.963,2.7056,1,172.75,20.469,0
15.127,2.7165,1,172.92,20.453,0
4.0853,1.4074,1,196.79,18.652,0
28.296,3.3427,1,173.84,20.645,0
36.483,3.5968,1,173.77,20.635,0
5.8776,1.7711,1,173.78,20.677,0
13.687,2.6165,1,175.02,20.273,0
53.585,3.9813,1,175.32,20.162,0
38.5,3.6507,1,175.29,20.189,0
50.187,3.9158,1,175.23,20.325,0
98.878,4.5939,1,175.15,20.314,0
52.816,3.9668,1,175.17,20.343,0
19.24,2.957,1,184.62,12.696,0
14.341,2.6631,1,185.73,12.567,0
3.4931,1.2508,1,175.41,12.802,0
2.0684,0.72679,1,169.22,32.564,0
10.737,2.3737,1,173.91,26.097,0
30.656,3.4228,1,175.43,26.155,0
97.336,4.5782,1,169.65,23.451,0
10.383,2.3402,1,172.56,23.802,0
25.326,3.2318,1,175.32,20.831,0
5.0509,1.6196,1,165.02,12.235,0
0.61231,-0.49052,1,167.64,12.453,0
3.1462,1.1462,1,170.57,12.723,0
19.051,2.9471,1,178.08,21.102,0
552.54,6.3145,1,177.93,21.003,0
1.7073,0.53491,1,173.81,12.854,0
2.7778,1.0217,1,174.5,12.909,0
69.495,4.2413,1,177.62,21.086,0
3.7932,1.3332,1,175.53,12.942,0
4.2164,1.439,1,175.81,12.495,0
16.056,2.7761,1,177.11,12.395,0
3.9233,1.3669,1,176.61,12.398,0
3.1997,1.1631,1,177.04,12.915,0
2.6458,0.97298,1,181.37,12.572,0
2.3749,0.86497,1,182.33,12.68,0
7.1226,1.9633,1,184.11,12.578,0
4.5367,1.5122,1,183.76,12.547,0
3.6274,1.2885,1,183.06,12.606,0
8.461,2.1355,1,183.77,12.694,0
8.7072,2.1641,1,185.1,12.579,0
17.376,2.8551,1,185.58,12.553,0
19.587,2.9748,1,186.14,12.705,0
1.7255,0.54553,1,186.15,12.675,0
11.611,2.4519,1,183.83,17.473,0
8.7923,2.1739,1,198.49,16.61,0
179.6,5.1907,1,204.37,16.055,0
90.451,4.5048,1,204.29,16.099,0
29.61,3.3881,1,179.84,21.091,0
19.235,2.9568,1,180.82,22.39,0
1.0158,0.01566,1,172.93,32.899,0
8.1145,2.0937,1,197.62,30.74,0
2.7823,1.0233,1,197.14,30.748,0
10.081,2.3106,1,169.71,25.689,0
3.4944,1.2512,1,169.37,25.752,0
2.3578,0.85771,1,177.24,26.248,0
20.768,3.0334,1,176.15,26.354,0
7.3276,1.9916,1,176.36,26.329,0
3.5423,1.2648,1,176.93,26.277,0
5.2123,1.651,1,204.46,25.665,0
5.5319,1.7105,1,204.89,25.556,0
20.088,3.0001,1,168.54,23.389,0
213.46,5.3634,1,168.34,23.316,0
338.67,5.825,1,168.13,23.272,0
9.995,2.3021,1,168.4,23.4,0
1616.4,7.388,1,168.37,23.313,0
33.467,3.5105,1,168.07,23.305,0
2.842,1.0445,1,169.65,20.431,0
6.9279,1.9356,1,174.49,20.779,0
1216.3,7.1036,1,177.52,20.962,0
53.437,3.9785,1,177.38,21.043,0
38.616,3.6537,1,177.49,20.954,0
84.105,4.4321,1,177.58,20.952,0
52.943,3.9692,1,177.72,20.954,0
3.4832,1.248,1,181.37,17.017,0
25.43,3.2359,1,204.52,16.015,0
527.09,6.2674,1,204.4,16.013,0
51.432,3.9403,1,204.41,15.972,0
59.273,4.0822,1,181.31,21.082,0
16.883,2.8263,1,181.24,21.013,0
3.2823,1.1885,1,184.65,20.696,0
34.331,3.536,1,180.7,21.146,0
13.104,2.5729,1,181.14,22.275,0
78.643,4.3649,1,180.39,21.008,0
34.579,3.5432,1,180.58,21.011,0
89.929,4.499,1,180.68,21.091,0
73.323,4.2949,1,180.39,21.085,0
27.607,3.3181,1,180.66,21.159,0
145.71,4.9816,1,176.61,33.081,0
148.21,4.9986,1,176.61,33.181,0
232.33,5.4481,1,176.54,33.208,0
19.142,2.9519,1,172.23,20.625,0
15.758,2.7574,1,181.4,22.309,0
1.5857,0.46102,1,165.89,14.728,0
29.831,3.3956,1,165.93,14.786,0
1.2166,0.19606,1,173.42,15.136,0
3.2361,1.1744,1,173.82,15.324,0
9.8648,2.289,1,190.37,31.186,0
7.9208,2.0695,1,194.52,31.014,0
5.1817,1.6451,1,175.6,33.064,0
6.3808,1.8533,1,165.76,37.229,0
84.784,4.4401,1,176.88,33.099,0
121.34,4.7986,1,176.64,33.106,0
512.2,6.2387,1,176.66,33.149,0
45.072,3.8083,1,176.76,33.162,0
104.25,4.6468,1,176.71,33.174,0
69.775,4.2453,1,176.48,33.205,0
488.96,6.1923,1,176.63,33.091,0
156.85,5.0553,1,176.54,33.109,0
579.21,6.3617,1,176.59,33.1,0
11.137,2.4102,1,176.12,33.056,0
9.5545,2.257,1,198.51,30.632,0
17.026,2.8347,1,168.17,25.498,0
64.457,4.166,1,171.94,26,0
1.9154,0.64995,1,171.17,25.92,0
7.0514,1.9532,1,170.08,25.65,0
10.384,2.3402,1,172.91,26.111,0
7.3056,1.9886,1,172.9,26.062,0
8.0039,2.0799,1,179.92,26.546,0
56.591,4.0359,1,179.54,26.453,0
243.21,5.4939,1,179.53,26.523,0
6.6756,1.8985,1,179.32,26.517,0
7.3268,1.9915,1,192.83,31.06,0
5.4872,1.7024,1,202.51,25.783,0
7.6421,2.0337,1,202.41,25.798,0
177.7,5.1801,1,168.3,23.258,0
11.14,2.4105,1,167.53,23.323,0
17.43,2.8582,1,167.64,23.278,0
6.6418,1.8934,1,167.15,23.092,0
155.98,5.0497,1,169.64,23.469,0
133.75,4.896,1,169.56,23.482,0
44.955,3.8057,1,201.22,14.077,0
161,5.0814,1,201.11,14.092,0
93.962,4.5429,1,201.07,14.086,0
84.956,4.4421,1,201.05,14.061,0
175.47,5.1675,1,203.79,13.89,0
3.8762,1.3548,1,203.77,13.922,0
198.49,5.2907,1,203.72,13.835,0
19.121,2.9508,1,192.72,34.157,0
4.2756,1.4529,1,193.01,34.187,0
41.77,3.7322,1,183.52,34.526,0
23.394,3.1525,1,183.65,34.547,0
17.045,2.8358,1,194.12,29.137,0
78.415,4.362,1,195.86,31.456,0
19.395,2.965,1,203.28,33.151,0
404.73,6.0032,1,203.33,33.12,0
236.87,5.4675,1,203.31,33.11,0
9.2116,2.2205,1,203.67,32.951,0
16.597,2.8092,1,203.37,33.042,0
1.3913,0.33023,1,168.93,13.782,0
90.677,4.5073,1,189.69,31.879,0
14.193,2.6528,1,186.68,29.424,0
3.1559,1.1493,1,185.15,34.442,0
56.949,4.0422,1,185.17,34.475,0
25.741,3.2481,1,185.6,29.444,0
2.374,0.86457,1,195.61,33.692,0
26.375,3.2724,1,188.41,29.451,0
4.702,1.548,1,196.37,33.849,0
2.7731,1.02,1,185.72,34.382,0
6.5246,1.8756,1,189.61,29.436,0
13.424,2.597,1,185.49,34.143,0
14.934,2.7036,1,197.76,31.404,0
0.74964,-0.28816,1,182.76,34.074,0
5.3855,1.6837,1,199.25,33.7,0
56.273,4.0302,1,175.58,33.639,0
1.0861,0.082631,1,174.72,33.828,0
182.44,5.2064,1,194.1,27.234,0
98.217,4.5872,1,194.12,27.291,0
163.17,5.0948,1,194.28,27.341,0
112.42,4.7222,1,194.2,27.292,0
45.617,3.8203,1,193.86,27.423,0
370.94,5.916,1,193.69,27.411,0
74.623,4.3125,1,193.92,27.251,0
91.248,4.5136,1,193.6,27.364,0
48.248,3.8763,1,193.44,27.25,0
66.835,4.2022,1,193.65,27.318,0
24.827,3.2119,1,183.08,29.407,0
3.8844,1.357,1,182.51,29.365,0
2.2101,0.79302,1,180.34,34.072,0
40.239,3.6948,1,195.52,27.297,0
116.03,4.7538,1,194.61,27.2,0
99.861,4.6038,1,194.58,27.311,0
112.5,4.7229,1,194.64,27.364,0
67.255,4.2085,1,194.65,27.265,0
100.25,4.6077,1,194.39,27.31,0
49.268,3.8973,1,195.07,27.257,0
148.58,5.0011,1,195.12,27.272,0
5.9757,1.7877,1,200.39,33.49,0
3.7799,1.3297,1,196.65,27.169,0
6.8951,1.9308,1,200.59,33.392,0
5.007,1.6108,1,201.2,33.463,0
129.45,4.8633,1,194.49,27.382,0
10.479,2.3494,1,204.51,26.338,0
3.358,1.2113,1,166.64,14.642,0
136.89,4.9192,1,166.81,14.508,0
3.5352,1.2628,1,166.92,14.249,0
1.1319,0.12391,1,169.45,13.728,0
1.1582,0.14685,1,172.01,13.93,0
6.555,1.8802,1,170.78,13.887,0
6.1383,1.8145,1,200.24,14.156,0
4.5035,1.5048,1,201.75,14.038,0
34.792,3.5494,1,201.39,14.025,0
11.661,2.4563,1,200.32,14.969,0
13.931,2.6341,1,200.86,14.195,0
38.741,3.6569,1,203.13,13.933,0
103.57,4.6402,1,203.03,14.062,0
2.6471,0.97346,1,202.39,14.948,0
1.1959,0.1789,1,203.79,14.775,0
68.982,4.2339,1,194.31,27.254,0
2.2409,0.80686,1,166.89,26.833,0
34.082,3.5288,1,178.2,29.329,0
41.85,3.7341,1,178.18,29.317,0
3.5431,1.265,1,180.6,29.377,0
5.9025,1.7754,1,179.89,29.447,0
46.022,3.8291,1,180.97,20.568,0
807.14,6.6935,1,180.98,20.401,0
71.257,4.2663,1,180.94,20.511,0
1500.3,7.3134,1,180.96,20.427,0
260.37,5.5621,1,181.48,20.573,0
655.97,6.4861,1,181.03,20.391,0
110.6,4.7059,1,181.05,20.41,0
3.2448,1.177,1,178.73,29.343,0
157.45,5.0591,1,189.63,31.938,0
10.97,2.3952,1,190.71,31.89,0
4.1472,1.4224,1,191.2,34.352,0
2.3595,0.85844,1,177.72,31.79,0
5.1899,1.6467,1,193.68,31.612,0
5.9018,1.7752,1,193.1,31.697,0
14.002,2.6392,1,192.87,31.815,0
15.164,2.7189,1,185.3,34.069,0
12.171,2.4991,1,185.08,33.97,0
21.813,3.0825,1,183.41,34.486,0
9.3457,2.2349,1,185.32,34.536,0
7.9945,2.0788,1,185.22,34.527,0
5.8417,1.765,1,183.24,31.863,0
12.758,2.5462,1,182.86,31.962,0
10.773,2.3771,1,182.75,31.987,0
23.642,3.163,1,188.2,29.391,0
5.5622,1.716,1,191.69,29.389,0
7.7065,2.0421,1,190.55,29.448,0
10.997,2.3976,1,194.58,29.129,0
157.05,5.0565,1,194.3,29.045,0
6.3226,1.8441,1,190.23,29.466,0
74.034,4.3045,1,194.26,29.063,0
125.94,4.8358,1,194.44,29.13,0
159.51,5.0721,1,194.53,29.035,0
21.988,3.0905,1,194.45,29.15,0
82.576,4.4137,1,194.28,29.063,0
7.9304,2.0707,1,193.53,29.243,0
5.7846,1.7552,1,188.85,29.492,0
3.529,1.261,1,203.3,35.519,0
15.503,2.7411,1,175.78,33.497,0
736.4,6.6018,1,175.9,33.448,0
62.943,4.1422,1,175.92,33.417,0
36.346,3.5931,1,175.91,33.599,0
2.5155,0.92248,1,200.11,28.124,0
10.306,2.3328,1,199.99,28.247,0
3.059,1.1181,1,166,25.893,0
45.637,3.8207,1,168.44,27.867,0
154.93,5.043,1,168.38,27.877,0
76.6,4.3386,1,169.44,25.559,0
35.07,3.5574,1,169.45,25.573,0
11.292,2.4241,1,169.33,27.872,0
13.012,2.5658,1,172.83,28.383,0
12.213,2.5025,1,172.08,28.16,0
167.8,5.1228,1,172.83,28.272,0
126.85,4.843,1,172.89,28.288,0
22.525,3.1146,1,173.74,25.946,0
9.7352,2.2757,1,174.62,28.504,0
1.8944,0.63888,1,176.45,26.12,0
24.878,3.214,1,175.54,25.974,0
1.4537,0.37409,1,181.41,27.388,0
6.1494,1.8164,1,184.72,27.492,0
4.0228,1.392,1,186.2,28.78,0
86.078,4.4552,1,194.09,26.704,0
2.1201,0.75148,1,201.04,35.888,0
10.707,2.3709,1,198.48,28.296,0
46.161,3.8321,1,201.09,35.914,0
2.6889,0.98912,1,168.84,31.524,0
15.945,2.7691,1,198.11,33.221,0
26.993,3.2956,1,176.86,33.543,0
26.24,3.2673,1,176.7,33.602,0
36.548,3.5986,1,176.35,33.467,0
22.65,3.1202,1,176.45,33.447,0
107.68,4.6791,1,176.24,33.461,0
120.71,4.7934,1,176.18,33.494,0
298.93,5.7002,1,176.2,33.527,0
181.89,5.2034,1,176.24,33.503,0
186.11,5.2264,1,176.06,33.515,0
89.471,4.4939,1,173.14,20.401,0
592.6,6.3845,1,173.14,20.417,0
3285.2,8.0972,1,176.01,33.535,0
307.16,5.7274,1,175.99,33.515,0
115.71,4.7511,1,174.66,20.405,0
21.513,3.0686,1,174.94,20.554,0
22.475,3.1124,1,174.82,20.428,0
125.62,4.8333,1,174.91,20.455,0
68.138,4.2215,1,174.96,20.395,0
13.724,2.6191,1,175.28,20.509,0
37.043,3.6121,1,175.58,20.452,0
97.24,4.5772,1,175.72,20.401,0
43.594,3.7749,1,176.54,20.447,0
223.88,5.4111,1,176.04,33.482,0
53.982,3.9886,1,177.7,20.552,0
189.54,5.2446,1,178.13,20.625,0
76.678,4.3396,1,178.09,20.652,0
46.282,3.8347,1,177.93,20.661,0
87.363,4.4701,1,178,20.659,0
369.83,5.913,1,178.32,20.631,0
339.92,5.8287,1,178.22,20.591,0
420.42,6.0413,1,178.29,20.648,0
117.62,4.7675,1,176.14,33.6,0
118.71,4.7767,1,176.07,33.43,0
1599.1,7.3772,1,176.01,33.517,0
125.63,4.8333,1,175.92,33.474,0
1.115,0.10886,1,193.73,33.55,0
2.34,0.85015,1,191.91,33.671,0
4.8551,1.58,1,180.38,33.827,0
3.2391,1.1753,1,184.35,33.886,0
14.595,2.6807,1,180.91,33.687,0
29.004,3.3674,1,181.2,20.754,0
53.996,3.9889,1,181.27,20.686,0
476.5,6.1665,1,181.51,20.608,0
5.2468,1.6576,1,171,26.559,0
29.698,3.3911,1,181.87,20.688,0
22.321,3.1055,1,172.69,28.168,0
25.438,3.2362,1,172.97,28.358,0
10.841,2.3833,1,172.42,28.26,0
11.197,2.4157,1,175.98,25.998,0
26.987,3.2954,1,176.27,26.828,0
8.4981,2.1398,1,176.4,27.128,0
5.0389,1.6172,1,182.57,28.758,0
4.5641,1.5182,1,181.26,28.872,0
5.5604,1.7157,1,194.48,33.565,0
6.8291,1.9212,1,186.26,27.374,0
6.8512,1.9244,1,185.93,27.388,0
30.007,3.4014,1,194.54,26.664,0
5.3026,1.6682,1,169.85,20.006,0
56.938,4.042,1,177.71,20.497,0
24.901,3.2149,1,181.53,20.785,0
655.65,6.4856,1,181.64,20.617,0
5.0982,1.6289,1,199.18,28.2,0
5.8835,1.7722,1,199.2,28.362,0
12.335,2.5124,1,170.27,25.574,0
25.492,3.2384,1,195.57,33.317,0
4.1547,1.4242,1,170.15,26.339,0
5.2758,1.6631,1,170.11,25.553,0
8.7639,2.1706,1,172.21,28.317,0
10.59,2.3599,1,171.76,28.242,0
11.314,2.426,1,171.76,28.075,0
2.5649,0.94193,1,178.26,27.157,0
9.9113,2.2937,1,177.98,27.092,0
3.7289,1.3161,1,177.57,27.131,0
11.405,2.434,1,177.27,27.252,0
8.9419,2.1907,1,195.44,33.433,0
20.049,2.9982,1,195.03,33.438,0
14.652,2.6846,1,179.89,28.717,0
8.0367,2.084,1,179.69,28.809,0
2.9002,1.0648,1,180.72,26.253,0
8.1584,2.099,1,179.56,26.309,0
12.158,2.498,1,180.67,26.214,0
19.841,2.9878,1,195.01,33.436,0
4.9925,1.6079,1,183.28,27.468,0
3.2498,1.1786,1,182.93,27.368,0
6.6601,1.8961,1,194.35,33.456,0
6.3364,1.8463,1,185.64,33.872,0
37.658,3.6285,1,194.18,26.742,0
3.5681,1.272,1,196.45,26.431,0
8.1632,2.0996,1,196.07,26.475,0
53.464,3.979,1,183.11,15.396,0
49.715,3.9063,1,183.86,15.247,0
60.576,4.1039,1,183.68,15.293,0
5.7546,1.75,1,200.94,14.693,0
5.7308,1.7459,1,182.99,15.388,0
74.658,4.3129,1,183,15.404,0
75.951,4.3301,1,183.13,15.271,0
19.511,2.971,1,183.53,15.405,0
2.8176,1.0359,1,199.76,14.791,0
10.811,2.3806,1,200.02,14.801,0
7.0689,1.9557,1,169.77,26.53,0
30.867,3.4297,1,169.54,26.547,0
19.503,2.9706,1,169.28,26.584,0
24.989,3.2184,1,169.38,26.478,0
141.88,4.955,1,169.46,26.626,0
2.1835,0.78092,1,173.28,26.849,0
22.155,3.098,1,188.92,26.222,0
138.45,4.9305,1,188.92,26.286,0
23.605,3.1614,1,189.14,28.029,0
27.665,3.3202,1,189.43,27.915,0
61.08,4.1122,1,189.13,26.249,0
23.768,3.1684,1,189.46,28,0
35.251,3.5625,1,189.22,27.862,0
35.606,3.5725,1,189.83,27.909,0
23.345,3.1504,1,189.8,28.005,0
1326.9,7.1906,1,190.25,27.97,0
7.6889,2.0398,1,191.18,27.892,0
16.472,2.8017,1,191.49,27.845,0
35.751,3.5766,1,191.54,27.938,0
25.866,3.2529,1,191.72,27.791,0
11.296,2.4245,1,192.24,27.836,0
19.986,2.995,1,192.28,27.797,0
10.429,2.3445,1,192.73,27.842,0
21.991,3.0906,1,193.12,27.803,0
3.0038,1.0999,1,193,26.159,0
30.501,3.4178,1,193.02,26.199,0
102.5,4.6299,1,193.66,27.692,0
109.04,4.6917,1,193.81,27.709,0
564.15,6.3353,1,193.41,27.784,0
202.25,5.3095,1,193.89,27.842,0
194.56,5.2708,1,193.9,27.767,0
260.1,5.5611,1,194.06,27.816,0
178.32,5.1836,1,193.96,27.752,0
97.465,4.5795,1,194.27,27.773,0
261.19,5.5653,1,194.35,27.766,0
154.95,5.0431,1,194.32,27.811,0
402.92,5.9987,1,194.31,27.73,0
149.5,5.0073,1,194.21,27.628,0
262.04,5.5685,1,194.27,27.677,0
142.74,4.961,1,194.14,27.687,0
418.7,6.0372,1,194.26,27.657,0
218.21,5.3855,1,194.32,27.618,0
297.89,5.6967,1,194.47,27.74,0
393.9,5.9761,1,194.45,27.769,0
215.7,5.3739,1,194.37,27.701,0
360.5,5.8875,1,194.39,27.61,0
836.95,6.7298,1,194.36,27.636,0
153.47,5.0335,1,194.63,27.674,0
182.73,5.208,1,194.65,27.596,0
180.57,5.1961,1,194.83,27.716,0
8285.2,9.0222,1,194.78,27.772,0
147.42,4.9933,1,194.83,27.594,0
117.27,4.7645,1,194.92,27.66,0
114.83,4.7434,1,195.03,27.685,0
118.95,4.7787,1,195.04,27.595,0
925.4,6.8302,1,195.12,27.625,0
430.14,6.0641,1,195.21,27.743,0
178.36,5.1838,1,195.15,27.574,0
69.362,4.2393,1,195.42,27.549,0
137.11,4.9208,1,194.74,27.595,0
547.08,6.3046,1,194.79,27.62,0
171.2,5.1428,1,194.46,27.644,0
149.29,5.0059,1,194.51,27.682,0
179.99,5.1929,1,193.94,27.796,0
472.44,6.1579,1,194.57,27.803,0
2405.4,7.7855,1,194.72,27.785,0
596.87,6.3917,1,194.85,27.739,0
317.19,5.7595,1,194.81,27.775,0
131.95,4.8825,1,195.14,27.638,0
385.73,5.9551,1,195.09,27.624,0
239.03,5.4766,1,195.19,27.747,0
156.71,5.0544,1,195.45,27.728,0
14.344,2.6633,1,196.91,27.499,0
25.113,3.2234,1,196.93,27.51,0
28.052,3.334,1,198.03,27.331,0
5.9817,1.7887,1,198.46,27.469,0
5.2186,1.6522,1,200.6,27.183,0
8.1569,2.0989,1,204.74,24.98,0
1.9129,0.64864,1,166.34,34.669,0
6.0993,1.8082,1,166.27,22.69,0
580.76,6.3643,1,183,15.401,0
59.277,4.0822,1,183.13,15.27,0
17.351,2.8537,1,183.17,15.22,0
14.833,2.6969,1,179.52,21.248,0
5.7541,1.7499,1,193.04,15.113,0
4.6674,1.5406,1,193.04,15.082,0
0.66512,-0.40779,1,167.68,31.723,0
5.6408,1.73,1,200.74,14.844,0
12.017,2.4863,1,200.36,14.729,0
2.5495,0.93591,1,202.63,14.596,0
1.18,0.16554,1,167.71,31.545,0
30.904,3.4309,1,167.66,31.656,0
6.3637,1.8506,1,180.5,16.708,0
5.271,1.6622,1,185.06,17.348,0
20.875,3.0386,1,185.14,17.352,0
331.63,5.804,1,167.73,31.554,0
6.379,1.853,1,204.12,15.881,0
75.287,4.3213,1,181.55,21.226,0
22.252,3.1025,1,199.32,20.691,0
19.213,2.9556,1,180.35,21.315,0
3.6624,1.2981,1,167.86,31.56,0
13.004,2.5652,1,198.78,30.404,0
3.3361,1.2048,1,203.78,22.662,0
19.081,2.9487,1,198.6,30.484,0
10.954,2.3937,1,198.34,30.56,0
16.431,2.7992,1,168.56,34.154,0
37.882,3.6345,1,189.44,27.931,0
344.51,5.8421,1,194.91,27.777,0
391.87,5.9709,1,194.88,27.72,0
43.143,3.7645,1,203.68,13.752,0
708.42,6.563,1,203.73,13.742,0
4.9007,1.5894,1,180.25,14.806,0
13.785,2.6236,1,188.54,33.251,0
4.0589,1.4009,1,177.77,14.803,0
3.7992,1.3348,1,191.72,33.063,0
16.076,2.7773,1,203.92,33.878,0
5.6491,1.7315,1,204.48,34.654,0
113.07,4.728,1,203.84,33.798,0
59.442,4.085,1,203.99,34.687,0
11.064,2.4037,1,203.38,33.875,0
23.083,3.1391,1,202.66,34.937,0
13.749,2.6209,1,202.61,35.041,0
515.73,6.2456,1,202.65,34.917,0
25.644,3.2443,1,203.48,34.963,0
141.41,4.9517,1,203.58,34.863,0
187.02,5.2312,1,203.54,34.765,0
13.821,2.6262,1,203.34,34.849,0
136.52,4.9165,1,203.57,34.929,0
94.86,4.5524,1,203.49,34.828,0
54.128,3.9914,1,203.92,34.796,0
35.041,3.5565,1,203.74,34.804,0
125.94,4.8358,1,204,34.818,0
273.57,5.6116,1,203.59,34.773,0
5.7914,1.7564,1,180.6,14.844,0
36.787,3.6051,1,204.03,34.866,0
3.9641,1.3773,1,202.39,13.887,0
6.566,1.8819,1,185.57,33.332,0
18.407,2.9127,1,201.57,13.811,0
5.8615,1.7684,1,201.77,13.836,0
18.163,2.8994,1,196.9,35.645,0
4.9351,1.5964,1,196.29,35.863,0
27.343,3.3085,1,200.48,35.36,0
9.6705,2.2691,1,200.53,35.393,0
43.481,3.7723,1,201.44,13.91,0
71.566,4.2706,1,201.42,13.917,0
84.434,4.436,1,201.28,13.976,0
147.75,4.9955,1,201.1,13.938,0
17.764,2.8772,1,175.8,32.909,0
31.415,3.4473,1,175.89,32.863,0
11.636,2.4541,1,175.37,33.527,0
9.7949,2.2819,1,166.09,32.235,0
11.858,2.473,1,169.42,32.922,0
22.883,3.1304,1,169.35,32.64,0
50.667,3.9253,1,203.77,33.794,0
8.634,2.1557,1,204.08,33.721,0
91.326,4.5144,1,201.23,13.876,0
75.095,4.3188,1,201.23,13.856,0
98.331,4.5883,1,201.1,13.813,0
86.23,4.457,1,201.15,14.003,0
675.65,6.5157,1,201.02,13.936,0
274.56,5.6152,1,201.04,13.977,0
248.65,5.516,1,201.06,13.93,0
251.21,5.5263,1,201.01,13.953,0
217.16,5.3806,1,200.96,13.896,0
45.542,3.8186,1,200.9,13.974,0
112.75,4.7252,1,200.98,13.873,0
2.5109,0.92064,1,173.69,28.716,0
3544.5,8.1732,1,188.91,26.549,0
145.49,4.9801,1,188.88,26.451,0
37.039,3.612,1,189.05,26.467,0
79.975,4.3817,1,188.98,26.422,0
43.141,3.7645,1,200.75,13.951,0
9.0305,2.2006,1,200.57,13.967,0
603.4,6.4026,1,188.9,26.567,0
176.14,5.1713,1,203.88,13.662,0
17.61,2.8685,1,203.91,13.798,0
56.246,4.0297,1,203.5,13.801,0
550.99,6.3117,1,203.7,13.744,0
167.09,5.1185,1,203.63,13.804,0
25.605,3.2428,1,203.75,13.619,0
29.642,3.3892,1,203.55,13.826,0
20.055,2.9985,1,203.4,13.811,0
21.989,3.0906,1,203.1,13.752,0
4.8196,1.5727,1,166.46,21.33,0
5.3449,1.6762,1,167.1,21.428,0
8.9779,2.1948,1,171.78,21.913,0
1.6004,0.47023,1,170.83,21.697,0
108.19,4.6839,1,174.37,21.977,0
48.21,3.8756,1,174.41,22.041,0
6400.1,8.7641,1,174.44,22.021,0
25.571,3.2414,1,174.46,22.013,0
94.934,4.5532,1,174.48,21.986,0
990.95,6.8987,1,174.47,21.974,0
274.67,5.6156,1,174.41,21.972,0
23.276,3.1474,1,174.18,22.046,0
23.941,3.1756,1,174.13,22.027,0
74.915,4.3164,1,174.32,22.089,0
68.831,4.2317,1,177.7,22.127,0
18.451,2.9151,1,176.13,22.231,0
22.918,3.1319,1,176.46,22.226,0
25.577,3.2417,1,177.52,22.182,0
19.555,2.9732,1,177.73,22.291,0
3.1643,1.1519,1,173.45,12.626,0
10.521,2.3534,1,186.4,26.163,0
40.109,3.6916,1,186.59,26.144,0
7.6032,2.0286,1,186.87,26.103,0
132.48,4.8864,1,203.94,34.692,0
108.46,4.6864,1,203.65,34.778,0
17.569,2.8662,1,204.18,34.746,0
2.5661,0.9424,1,176.5,35.519,0
3.0725,1.1225,1,197.05,35.755,0
2.6654,0.98036,1,200.37,35.277,0
3.143,1.1452,1,172.78,35.058,0
16.933,2.8293,1,169.57,28.26,0
155.52,5.0468,1,174.37,22.063,0
10.003,2.3029,1,176.2,22.099,0
17.812,2.8799,1,200.54,22.274,0
3.904,1.362,1,180.94,26.062,0
5.9396,1.7816,1,194.64,24.394,0
1.6363,0.49241,1,179.2,35.669,0
14.614,2.682,1,176.59,22.134,0
23.249,3.1463,1,196.9,32.778,0
1.3492,0.29949,1,172.76,14.567,0
4.2549,1.4481,1,175,14.585,0
53.071,3.9716,1,174.91,14.649,0
2.6132,0.96056,1,187.86,36.826,0
6.4134,1.8584,1,188.22,33.133,0
6.4318,1.8613,1,204.83,34.688,0
13.774,2.6228,1,184.82,12.016,0
1.1338,0.12558,1,191.47,13.201,0
0.36009,-1.0214,1,187.77,12.03,0
17.318,2.8517,1,198.06,12.907,0
5.8142,1.7603,1,198.15,12.962,0
9.7387,2.2761,1,198.86,12.677,0
18.951,2.9419,1,202.05,12.704,0
40.658,3.7052,1,202.29,12.769,0
38.46,3.6496,1,202.17,12.711,0
74.671,4.3131,1,202.08,12.762,0
