#plate,mjd,fiberID,RA,Dec,z,zErr
2241,54169,458,195.09223,28.047011,0.02727107,7.952659E-06
2241,54169,462,194.70065,28.018733,0.02361731,4.538571E-05
2241,54169,465,194.78943,28.040934,0.02404518,1.579988E-05
2241,54169,481,194.85437,27.996739,0.01828161,2.55621E-05
2243,53794,366,198.21604,27.880058,0.02144641,1.236473E-05
1761,53376,350,175.67502,15.35499,0.02384859,6.027909E-06
1761,53376,351,174.87484,15.393158,0.02009559,7.457735E-06
2243,53794,407,198.36229,27.802378,0.02131665,1.013564E-05
2243,53794,409,198.35708,27.763462,0.02052569,7.29006E-06
1762,53415,422,177.33423,15.409018,0.02124498,1.298638E-05
1762,53415,481,177.89422,15.475343,0.02125599,8.342492E-06
1762,53415,485,177.99469,15.335316,0.02062024,1.251101E-05
1763,53463,582,180.49837,15.417592,0.02354837,8.760798E-06
1763,53463,586,180.28347,15.398249,0.0172285,1.066059E-05
1763,53463,637,180.8042,15.451127,0.02381542,1.094385E-05
1764,53467,386,180.20528,15.451222,0.02257301,1.604597E-05
1764,53467,388,180.23068,15.372759,0.01743239,6.476099E-06
1764,53467,428,180.77811,15.165339,0.02416026,7.711969E-06
1764,53467,479,181.1756,15.132909,0.02754178,6.712184E-06
2243,53794,418,198.47782,27.713019,0.02070195,2.022743E-05
1764,53467,483,181.25877,15.422227,0.02248531,1.483505E-05
1764,53467,488,181.34556,15.446823,0.02282112,1.446258E-05
2243,53794,452,198.65742,27.84557,0.03272721,1.17665E-05
2243,53794,529,199.04972,27.733764,0.03250648,8.56282E-06
2243,53794,561,199.35377,27.750143,0.02344551,1.131352E-05
1773,53112,441,199.44231,15.676562,0.02681881,7.006302E-06
1774,53759,420,201.05653,15.568655,0.02891677,1.293972E-05
1776,53858,364,204.8869,15.223273,0.02139034,2.697236E-05
2244,53795,374,200.59694,27.581502,0.0245192,5.105758E-06
2492,54178,380,167.54122,22.226518,0.03297615,6.873863E-06
2492,54178,441,168.38483,22.849149,0.02255586,1.496413E-05
2496,54178,618,171.73204,22.600977,0.03124344,8.861406E-06
2241,54169,590,195.17815,27.971266,0.02125549,7.430903E-06
2241,54169,597,195.33331,27.961029,0.02626503,4.013226E-05
2241,54169,606,195.96165,27.988379,0.02117967,7.750785E-06
1993,53762,74,204.22119,34.612392,0.02487364,6.952173E-06
1993,53762,120,203.80559,34.677436,0.02639182,8.926881E-06
1993,53762,147,203.79645,34.646847,0.02140667,7.454873E-06
1993,53762,156,203.60437,34.638642,0.02586123,1.322335E-05
1993,53762,157,203.62761,34.659233,0.02189322,2.356811E-05
1993,53762,436,202.54696,34.858656,0.02331724,4.354729E-05
1993,53762,437,202.69934,34.812098,0.02479136,2.691344E-05
1993,53762,439,202.57464,34.900319,0.02494644,1.759916E-05
1993,53762,440,202.67816,34.830655,0.02369673,9.382979E-06
2241,54169,610,195.68499,28.045349,0.02076338,8.594459E-06
2241,54169,613,195.64496,27.949119,0.01928198,1.13706E-05
2657,54502,78,184.85833,25.038212,0.02240309,3.588937E-06
2241,54169,614,195.55974,28.101606,0.01983889,1.883389E-05
2016,53799,35,198.49061,35.314652,0.01697419,8.199166E-06
2016,53799,79,197.75849,35.468974,0.01639493,1.025345E-05
2016,53799,156,197.33179,35.529695,0.01649252,5.994536E-06
2016,53799,174,196.86985,35.492092,0.03227539,1.191928E-05
2016,53799,232,196.10409,35.557248,0.01782701,2.312965E-05
2023,53851,399,198.9718,35.293823,0.01726908,9.044807E-06
2027,53433,196,178.80228,37.994656,0.02302341,8.993827E-06
2030,53499,155,168.22978,37.052594,0.02500302,1.56874E-05
2030,53499,186,167.56857,36.909157,0.03013763,1.146548E-05
2030,53499,188,167.72593,36.898402,0.02607459,7.574535E-06
2030,53499,222,167.51097,36.934711,0.02743211,4.331745E-06
2030,53499,223,167.48111,36.9465,0.0302271,1.078098E-05
2030,53499,232,167.5552,36.966546,0.02878307,1.00406E-05
2030,53499,234,167.46782,37.001952,0.02980464,1.211509E-05
2030,53499,238,167.36077,37.026259,0.02595326,2.316044E-05
2030,53499,279,166.99816,36.872295,0.02673963,1.455758E-05
2031,53848,110,194.40864,35.720342,0.01503323,5.134594E-06
2241,54169,615,195.81768,28.030416,0.02031774,9.022365E-06
2241,54169,616,195.53398,28.151038,0.01637006,4.169795E-05
2241,54169,620,195.6043,27.972266,0.02742219,7.077159E-05
2242,54153,321,195.4899,28.005844,0.02574884,1.089896E-05
2215,53793,572,169.97087,29.773648,0.02362963,1.4135E-05
1606,53055,441,171.99203,13.183913,0.02037709,2.63869E-05
2217,53794,422,171.11056,29.866928,0.02442967,8.868195E-06
2217,53794,464,171.61878,29.871767,0.02765331,4.992329E-06
2220,53795,504,174.31162,30.157543,0.03293474,5.493617E-06
2220,53795,515,174.30181,30.128243,0.03215985,5.853529E-06
1606,53055,470,171.87152,12.484286,0.02606607,5.956879E-06
1607,53083,453,174.31378,13.258977,0.02056013,9.249276E-06
2222,53799,548,177.01398,30.359329,0.02098018,6.60971E-06
2222,53799,555,176.93092,30.232588,0.03055899,1.183979E-05
2222,53799,627,178.01049,30.319929,0.02196943,1.405828E-05
2222,53799,629,177.85044,30.413088,0.02959716,8.651183E-06
2222,53799,630,178.05447,30.296782,0.02129734,5.955779E-06
2227,53820,572,181.77091,28.328957,0.02647737,1.588929E-05
2227,53820,579,181.76879,28.386514,0.02792978,1.420794E-05
2229,53823,339,181.71342,28.350625,0.03039347,2.35325E-05
2242,54153,325,195.66019,28.114579,0.02488411,1.105279E-05
2242,54153,362,195.85554,28.014005,0.02654376,1.123893E-05
2242,54153,369,195.88014,28.092321,0.02111703,1.794592E-05
2242,54153,371,195.75365,28.032485,0.01793707,6.878441E-06
2242,54153,372,195.84487,27.935978,0.02009697,1.007221E-05
2229,53823,579,183.62396,28.423448,0.01316277,6.281232E-06
2242,54153,380,195.73571,28.070406,0.02588479,1.015556E-05
2230,53799,581,184.84889,30.500743,0.02844312,1.743196E-05
2242,54153,402,195.9604,28.054417,0.02097959,1.618615E-05
2230,53799,621,185.10476,30.521266,0.0280338,1.13554E-05
2231,53816,321,183.98138,28.377756,0.02785536,2.84462E-05
2231,53816,404,184.54778,28.544379,0.02848512,1.044651E-05
2231,53816,413,184.58325,28.528197,0.02790233,1.166728E-05
2231,53816,460,184.86674,28.469362,0.02589973,4.981112E-05
2242,54153,404,195.90241,28.097967,0.02058619,5.056025E-05
2242,54153,405,196.03318,27.964958,0.01980436,1.274144E-05
2242,54153,408,195.94282,27.986928,0.02061088,1.990769E-05
2242,54153,411,195.93727,28.084232,0.01876636,8.244177E-06
2242,54153,522,196.65164,27.872956,0.02093789,9.071056E-06
2242,54153,523,196.58081,28.052507,0.02408501,1.959133E-05
2232,53827,469,185.11479,30.453956,0.02845589,1.969899E-05
2233,53845,325,184.96523,28.422599,0.02651955,1.151097E-05
2233,53845,326,184.84019,28.537051,0.0271411,7.557861E-06
2233,53845,327,184.97255,28.385864,0.02650133,1.014115E-05
2233,53845,329,184.96107,28.405246,0.02834771,1.202305E-05
2233,53845,336,184.90958,28.407894,0.02564427,1.680703E-05
2233,53845,373,185.04254,28.388964,0.02548624,1.165436E-05
2233,53845,374,185.25089,28.534717,0.02645348,1.203671E-05
2233,53845,376,185.00891,28.445079,0.02885898,1.442361E-05
2233,53845,378,185.08852,28.413366,0.02718054,2.253515E-05
2233,53845,412,185.75881,28.413057,0.02723725,5.625977E-06
2233,53845,413,185.7417,28.494155,0.025376,1.539643E-05
2233,53845,415,185.56407,28.356617,0.02785881,7.22254E-05
2233,53845,420,185.67785,28.386154,0.0275818,1.077692E-05
2233,53845,442,186.33386,28.381009,0.01505315,7.949496E-06
2233,53845,535,186.53668,28.433567,0.01495105,4.211862E-06
