Dec,RA
10.134519636081134,6.061386506706364
-16.802059236446823,-79.04827351788205
-10.042675878442507,-14.210300790766059
10.138953901783632,-79.96644150852019
27.945279885283817,-10.986411067696531
21.178975070349374,14.46593818267805
-38.375363721369155,-74.83975626235653
32.326641963918846,-55.64245355440809
-17.270380569326445,-79.38405123817142
-14.460268246893822,-9.763771260057304
14.51618924795295,10.20967000645126
-12.956111813285787,-81.03490750259027
10.179153926637268,5.9997780562399
-17.50058843688803,-79.3128688434926
-22.880759753670176,-48.638691069253866
-35.89243845242066,-84.28213264158762
-44.28652925598858,-4.779524378863584
10.021987005206956,6.14387815418209
32.08798513830939,-41.30152661488325
-10.054320595720664,-13.953252005550505
-17.721296719180543,-79.31997097234111
-17.523329320282887,-79.60147225384058
-1.3460496398890802,-27.957033974666828
-17.578995467603164,-80.62708065293384
-14.368290423835912,-9.773494759076577
-17.07532137267343,-79.43760972061268
14.268858163819539,9.906860976223177
10.80624688637986,21.593396407799545
-17.59626530618507,-79.23897159790658
27.92964034383295,-10.844048236314354
-10.50156043318674,-13.937598365389222
-17.086442223543028,-79.40539205014795
-16.590241460325444,-78.79388097721089
-10.294138750838354,-30.410070607521707
-17.507092944990976,-79.30307728487061
-10.467612609849791,-30.604665250741956
-17.287300858431603,-79.11401188513368
10.225567632807106,6.123473233056633
-44.611776131715494,-4.859642184106473
-45.0915962004624,-4.896607435862331
-17.766814625946918,-79.47477735508758
-14.043549431654895,-9.77029352237526
20.949115495283756,14.136140094523086
-22.634403619242576,-46.352209889187094
-44.4902032059173,-4.837143223403668
-17.213609223552467,-80.50800211876252
-38.186617425241764,-75.07824126227081
-23.558460393916135,-78.21567016553037
21.019314871192044,14.360903221393068
14.802936657942915,9.821488336996296
-14.702551060081799,-9.487007856858492
-17.029888515251766,-78.65680699078018
32.252890185832015,-55.457764940781836
32.216835705897985,-55.517523062424594
-17.657347227417354,-79.34265414267054
-17.251781327455276,-79.21553952696263
3.6377001548539516,-3.926799975387019
10.076372151019815,6.387563241760368
-44.98833608152348,-5.340282249515102
14.279136315145765,9.73013753122517
8.989578884954069,5.820502703148966
-40.58228124004233,1.8034199874909707
-14.07143858710808,-10.168301308797593
-22.577778901704278,-46.250080984251895
-17.54639982171147,-79.94243322981318
-9.476527343584252,-28.112058417300467
31.8419978194355,-42.73556325988694
-17.288858429702284,-79.42250906285429
-27.28634735590512,-87.53580829021972
14.371131526827098,9.789698097080173
-10.677625901880045,-30.461360940647545
-10.028280907506403,-14.189355420291761
-17.580513253436784,-79.33225607784442
-17.170090337007586,-79.35782294802722
-40.56039538781097,1.7645749425117394
-38.004159645715376,-74.88848957115411
13.91661455286106,10.051156485541297
20.893982450047222,14.362361463988568
-14.067024529977246,-9.50548715930043
10.032026535904086,6.130619048333308
-10.522328867241173,-30.49124472268668
-17.346202212497744,-79.08480398902705
12.763278573685085,10.06842307104903
16.343339193558286,13.74691564453223
-17.435577601052877,-79.84783123566261
-38.9541881882358,-74.41617191641441
-10.488501039737617,-30.480786219513252
-35.84801965044473,-84.53762593081584
-14.302684611468873,-9.818914091496262
-37.92938632094038,-75.37436686173797
-9.906818168906707,-14.387166613887484
30.90028663172837,-30.63630149754329
10.543039330546796,6.288089341845924
10.478852636351668,6.208024621692761
14.39848438759925,8.863495558312149
-17.39872301608836,-79.2785719201091
21.279751726246925,14.669280837769424
14.639606402228,9.398102421053041
14.485168690059169,9.328295950910512
-44.071547913624016,-4.517112598261506
10.386774151196015,6.379196897977197
-27.24737007743866,-87.56837786308908
-14.015520425420668,-10.323296045949284
-14.779921871766973,-9.597680306997422
-13.844098376523416,-10.081680216851758
-17.3634111366448,-79.40430212837258
10.066281822186511,6.0445406524319
-14.36033944007059,-9.490823219877852
9.690590465471452,5.651543149121039
9.964257768916967,5.915105646228499
-17.169515980887365,-79.97422108347746
-17.551698361949942,-79.17166894098528
-23.16224696431751,-48.83073442495189
-11.080485521152166,-82.31965121336972
-27.142979781143218,-87.45695812940545
-17.08720904208969,-79.332384809671
9.919537551853855,6.094628367635044
10.084195464285472,6.433592609279476
-16.267063346780844,-78.92517318644413
10.353771726467794,5.752066352066182
-0.1249281331544223,-21.19900317242491
9.400474817596416,5.2841420357554
-38.08585062377303,-75.08283931595146
-10.09886299023492,-14.30750496810925
10.219175050208499,5.988280064968949
-17.285897477203694,-79.01808952839187
20.817551384415452,14.820705934719737
-10.441788418436593,-30.549736487942088
-17.44369953313295,-78.95563488571241
-17.191379256180657,-79.68534666355876
-35.95096233052534,-4.064217789646816
-17.22999993135785,-79.2911819780623
-40.61175580722478,1.5928730705193033
-0.9809331238092756,-10.20714656397007
-17.25043512929568,-79.45450030840753
14.67808038376041,10.10592682681628
3.5884676998880067,-70.94852964550527
14.207199745457096,9.768106210001712
14.237754028151077,9.875851686003298
-18.86988271517065,-64.9012331475144
-29.217095784282755,6.003689369481168
-17.24533821076026,-79.41171869644961
52.98458738590554,-42.185223150608905
-15.765480819790383,-79.31207139628197
14.097480789721857,10.387001057099525
57.43301036209123,-43.6044857858343
11.492286826985358,6.51505060450205
-18.028246670927768,-80.07962237646916
20.930472825465827,14.444844674168916
-22.420978236584244,-7.715602984251113
-17.18366775903927,-79.26686116312572
-16.293846815477615,-78.61444263175926
10.588062993783591,21.436232477278942
-17.64091810456513,-82.38084400918797
9.21615662901625,5.869738364618959
18.247336152662534,13.720714763120313
-16.87619148933955,-79.34471217454397
-38.583758511246096,4.3154302727868865
-17.20478309214174,-78.63570642888789
-15.615252070673519,-79.3176754953227
-17.274112285123387,-79.22168610883463
32.48276655279739,-40.86679722924842
10.378200212728114,5.907062213422554
-16.88570106223046,-79.97435562368523
-15.326316911481758,-79.4416352256561
-17.355221730405432,-78.88838626924765
-10.470303809326445,-30.69621872220353
20.830175175332894,-6.461178409380535
-17.31489723331879,-78.2163957308024
10.24509104039962,5.954632584359361
-37.35604699964948,-74.94691319750439
-15.069146231741122,-79.45540412438243
-14.302933504165935,-9.820334249673964
8.336828614498826,4.315463112032222
-16.95536747200706,-80.89933315429553
-16.434532598170943,-79.75313749210633
-17.435871321095888,-79.61411672357343
14.122791601031473,10.526190439018318
9.392754127366501,6.2450834892254425
-16.531549465664575,-78.88063997914193
36.59872696167296,-31.28443563010581
-17.69366246464581,-79.46872878192512
10.105425729334224,5.76220473294916
-38.50988518035339,-74.13703806526968
-16.962064604163857,-80.90209373233647
-2.8203274592572942,-40.36608232077935
-44.42217377907115,-5.070131651926813
9.751035500897585,5.358616202843873
10.420260321886587,6.214196344780076
-10.20259817086751,-14.24299671138659
13.367915313355677,9.680716118940792
20.60541182730173,14.474709576669177
-17.79319103237652,-79.4622221278718
-44.643500467465714,-4.878382111232895
-17.508084992573764,-79.06295190177319
-19.378928260102203,-7.67588446500515
-17.4554863340715,-79.2787467175091
-17.39834389812429,-79.27228935497095
14.255518496907607,10.1950591157017
10.769221296493484,21.582051165558934
-14.38437068986379,-9.699544396621363
13.670506435838288,9.610270702456344
-15.566576081004392,-78.93307870461533
-38.52528090755679,-75.0607644681555
15.273221966247679,10.984584433277714
-26.32522301168732,5.728091968520149
8.594349427593738,4.749476791123873
-14.318505243295709,-9.929217467821143
-23.29752077812109,-48.64577112813567
-18.20699535360332,-79.96956089799843
-36.32872694802379,-43.77461892879218
-17.90941350019892,-79.60124876923328
21.001255325961537,14.275081577836875
-0.15250206152191348,-21.117285814378352
-44.550997356253276,-5.398724526971638
-9.777362203275786,-14.665503926073573
-15.106323597038557,-80.43389742210272
-14.307222377420986,-9.850675621498585
-17.380041970855753,-79.44973243085268
14.197407406451653,9.896532042062073
-17.830265836482337,-79.42984315629839
-55.72979741796066,-86.82012005358064
-17.59972654024486,-79.29167866389945
-13.995444759853182,-9.566579809833913
-17.212428283694607,-79.19130330061361
9.9348842678816,5.992074716529025
-14.00172824833297,-10.868982367121335
27.626227880755696,-46.88443118803948
9.890480613840959,5.346805590818976
0.9574081446341491,-49.12506256266289
-37.92492880356525,-74.81528625537032
-17.10168300744172,-79.75880239838989
-17.18828992387235,-79.3509890737791
-9.474004632852886,-30.43490700518513
-17.75538426200571,-78.99607791383065
-36.72289317270541,-74.68240563070442
-35.516509655792035,1.3460986781281008
-14.508697101423092,-9.441237305342906
-38.63101343789672,-74.68470598437472
-10.227605241094496,-30.173125087438397
-17.289820503539556,-78.80101198296914
-17.7757284060868,-79.30115356120498
-22.814354882831818,-48.60411342497503
-44.12367020816315,-4.5510222469088735
-38.425286230809206,-74.30494809606606
-34.784976725336676,-4.910143372313562
-35.29139366222125,-4.811460371136614
9.312814354455488,5.821323252742926
14.663570046779764,9.969189922250298
-40.642099720252155,-1.6159806498413394
8.693140765481745,4.955596335682773
10.186045509447498,6.153161908466203
16.116754533999156,13.739812701944452
7.9423512381540196,5.316050331376173
-16.91956072636946,-79.39418679179852
-35.212666843362086,-4.981843437281291
13.06768275894004,9.295001372830374
-22.36017391046417,-78.37566652730068
-13.343491141070587,-29.100160685219553
-15.142284981051258,-10.423019504638383
-10.251232985980016,-68.20851827787561
-17.438625671480267,-71.69394236079921
-22.356463915515377,-48.509874573771995
13.878291815072448,10.636548086121913
-17.29991345908992,-79.37001561411344
13.954769604779415,9.605120107950121
14.129921909773513,8.983610057093204
-55.40639135302036,-93.19766257925633
-45.02698270203517,-5.035725885960506
-14.85956157077531,-78.87921984639952
9.717638616680585,5.810847846935857
3.2443617367043696,-4.101621831270756
-17.824501132263624,-79.41623206148955
57.4786992630797,-43.69900868512806
14.272685252005243,9.770220325596991
14.34241606416493,9.627978530557527
-14.032350883594564,-5.704977405879989
15.776420686822501,10.44854657962396
-16.900664951345387,-79.69019767628495
-17.266573033776258,-79.06149671481766
14.464648648055322,9.767018363788418
-15.031195117159328,-79.42596460393402
-9.459933856530604,-28.20627044822883
26.702817969848574,-75.06467975035126
-16.125774181961745,-79.29176781087715
-17.08502445371178,-79.51354692881483
-26.362186109748727,-49.9448598985303
-9.759301193405658,-14.271109442319169
-17.505853728549475,-71.04435877008754
10.260788825387907,-79.81635494577354
-17.659397326143424,-79.48218695169595
-10.62354461323768,-29.421770285035006
-34.977865350615495,-5.22482092970831
11.326365612155843,6.22600095517411
-17.0823110643244,-79.63587054591302
-9.555955754382538,-14.944184342826546
21.132638839045605,14.796387297400287
-26.056383983603673,-6.650011196452158
-16.06239056907602,-79.98411817504592
-17.043962457463852,-79.38299992253066
-13.890170953103052,-7.6157306689092135
10.529083548376246,6.061963243257118
10.664877110878631,20.446163738975585
-11.27769236163231,-30.962542064230583
14.11992571597262,10.437756573447157
-17.20374820135224,-78.98492390763022
-10.656458217526584,-30.83805271733935
-34.4970765740589,4.300153119147823
-35.30917973320188,-4.389428203074801
-14.16779602888137,-10.130855998419095
-13.902962972386412,-5.785511588247942
-14.920237087836087,-79.46839326262518
10.0683977777627,5.997377436546522
14.090009435934954,10.427880388898886
-18.211877723528755,-78.89617648380215
10.431792665339504,-79.78156191298929
-21.58725916087306,-8.284734357804956
57.64698250856934,-43.268164696221575
16.536092645507473,12.67178548076539
-33.26303852187192,-2.1960078529536013
14.488380028101414,10.057127343276127
-40.21383641776066,-4.221231654886791
-17.02131759050739,-79.51180009142247
14.918753926028934,8.887479562318592
-41.01080258294708,-2.092065132300661
-45.05441095096395,-5.01116686631703
15.96510133234913,-35.05611404947087
-21.90508695410913,-8.000093123789261
-17.583841978180377,-79.84945124291212
-14.734184643212522,-9.346263076642376
5.134323321413549,-1.4274543047370143
21.200949597139484,14.090019416261308
-16.4059803848103,-80.83023627703791
-1.546068880291628,-28.170752652625467
-18.35996587681463,-79.79098758553332
-17.660980242453583,7.6021659650326745
14.522785854416654,10.10546605834687
-27.21980981024945,-87.8745402572176
-16.633683539015088,-79.80757293202885
4.773849451383206,-1.7901950329716714
-11.754316389208935,-28.514504211138757
-9.67497147692606,-27.839667321258
-0.8403580020300357,-9.578278402849355
-16.677804176947816,-80.03742244858263
2.7159414661603796,-20.06553286462994
-14.576180202894218,-78.99245162581724
9.437046336815357,5.968587937028769
16.912112969241523,-79.00358852231648
-16.74971196443702,-79.33662278435459
9.725863801390197,8.489958900038587
-13.704904315761688,-9.911117322757125
-37.459579633395634,-74.817159292909
-14.525476932925196,-11.304600705226314
-14.105390978830469,-10.160234838317574
20.996015586861084,14.255053574639987
-14.209551945733494,-9.910364625153932
-34.83471954671889,-5.4707422749659536
-16.753407031073948,-79.72941020524817
-14.469176822473916,-9.184020621609896
