# px py pz vx vy vz
5.807622528076171875e+01,4.191365051269531250e+01,8.964495849609375000e+01,-3.544093017578125000e+02,1.206901702880859375e+02,-5.058768463134765625e+01
9.182184600830078125e+01,1.444874095916748047e+01,3.687240600585937500e+01,-7.414733886718750000e+01,-5.782903442382812500e+02,7.606545448303222656e+00
2.852880668640136719e+01,7.824181365966796875e+01,5.961159515380859375e+01,-3.352947235107421875e+01,1.004807510375976562e+02,-7.289138793945312500e+01
1.361570549011230469e+01,6.721417999267578125e+01,9.723435044288635254e-01,-1.878752746582031250e+02,-1.563840866088867188e+01,-1.092930126190185547e+01
4.711201095581054688e+01,1.610561561584472656e+01,8.571756362915039062e+00,7.441280364990234375e+01,-2.872759704589843750e+02,1.370434417724609375e+02
5.391102218627929688e+01,4.616970443725585938e+01,7.893292999267578125e+01,1.851813201904296875e+02,1.122044801712036133e+00,2.647383422851562500e+02
6.973389434814453125e+01,6.210650444030761719e+00,9.440020751953125000e+01,-7.178595733642578125e+01,-7.639834594726562500e+01,5.371001052856445312e+01
4.785742187500000000e+01,3.785675430297851562e+01,6.315714645385742188e+01,2.879704093933105469e+01,-1.798362884521484375e+02,8.960473632812500000e+01
6.205774307250976562e+01,3.407426834106445312e+01,2.082074165344238281e+01,-9.702803039550781250e+01,-7.423020629882812500e+02,-6.428468017578125000e+02
7.524588012695312500e+01,2.683812904357910156e+01,6.136694717407226562e+01,3.468846740722656250e+02,2.996257934570312500e+02,-2.361084442138671875e+02
8.496726226806640625e+01,4.749895477294921875e+01,8.153416633605957031e+00,1.343464851379394531e+01,-2.644369812011718750e+02,-2.278870849609375000e+02
6.921310424804687500e+01,8.157825469970703125e+01,8.748413848876953125e+01,1.269187545776367188e+02,-1.862863006591796875e+02,7.613761901855468750e+01
8.563404083251953125e+01,6.110515594482421875e+01,3.972954559326171875e+01,2.024783630371093750e+02,4.159600524902343750e+02,-9.144106292724609375e+01
7.968173980712890625e+01,4.293502426147460938e+01,5.542248535156250000e+01,-3.993037414550781250e+01,3.635020751953125000e+02,-1.165418090820312500e+02
2.541973590850830078e+00,7.386579132080078125e+01,4.835928726196289062e+01,7.614810180664062500e+02,4.134065246582031250e+02,-2.420280761718750000e+02
1.352600479125976562e+01,6.722568511962890625e+01,8.497311472892761230e-01,6.452962398529052734e+00,-5.647879791259765625e+01,2.456708221435546875e+02
4.040895462036132812e+01,9.812813568115234375e+01,9.901167297363281250e+01,4.638410034179687500e+02,1.698859252929687500e+02,6.082486572265625000e+02
4.376099777221679688e+01,7.749720764160156250e+01,3.511226272583007812e+01,5.118175506591796875e+01,3.930972671508789062e+01,-3.793617248535156250e+02
8.355767059326171875e+01,6.461752319335937500e+01,7.326711273193359375e+01,-2.415041656494140625e+02,-6.158969879150390625e+01,-2.531447296142578125e+02
3.377379608154296875e+01,6.609548187255859375e+01,9.348346710205078125e+00,-1.452331829071044922e+01,-7.176758575439453125e+01,-1.225822753906250000e+02
7.611824035644531250e+01,8.930804443359375000e+01,4.188042831420898438e+01,3.112228698730468750e+02,7.795449218750000000e+02,2.716759338378906250e+02
1.609365844726562500e+01,8.256587219238281250e+01,6.448092651367187500e+01,1.599090881347656250e+02,-1.980134010314941406e+01,-8.171806640625000000e+02
4.764522075653076172e+00,5.953358840942382812e+01,5.428940963745117188e+01,-1.352808532714843750e+02,-4.047474975585937500e+02,-2.293992004394531250e+02
6.131480026245117188e+01,3.305249786376953125e+01,2.023627853393554688e+01,3.793581542968750000e+02,5.258826904296875000e+02,3.116477012634277344e+01
3.502035140991210938e+01,7.141487884521484375e+01,4.362659072875976562e+01,-1.668148803710937500e+01,3.566014099121093750e+02,1.155289688110351562e+02
6.936122894287109375e+01,7.954939270019531250e+01,8.777393341064453125e+01,3.393192443847656250e+02,4.409556884765625000e+02,2.031381530761718750e+02
3.712762451171875000e+01,4.490273666381835938e+01,9.729885101318359375e+01,-2.558595733642578125e+02,9.486593246459960938e+00,-9.178645629882812500e+02
7.966337585449218750e+01,4.307396316528320312e+01,5.549039459228515625e+01,1.005620651245117188e+02,2.783761291503906250e+02,-3.826099395751953125e+01
6.131831741333007812e+01,3.315403747558593750e+01,2.028726005554199219e+01,-2.186768951416015625e+02,-4.622664489746093750e+02,-2.734387817382812500e+02
6.575615692138671875e+01,6.797335052490234375e+01,1.485370445251464844e+01,1.472388916015625000e+02,-8.055588603019714355e-01,-1.552527809143066406e+01
4.061190605163574219e+00,6.776133728027343750e+01,4.009770202636718750e+01,-1.010524444580078125e+02,3.423260803222656250e+02,4.258708190917968750e+02
8.375636291503906250e+01,6.286212539672851562e+01,4.505803680419921875e+01,-2.970426330566406250e+02,-4.483528747558593750e+02,3.563331222534179688e+01
9.112377166748046875e+01,5.225801849365234375e+01,9.209508514404296875e+01,2.999463195800781250e+02,-4.549666442871093750e+02,-1.871814880371093750e+02
9.266925811767578125e+01,3.716164398193359375e+01,6.063677597045898438e+01,5.803733062744140625e+01,-1.120749568939208984e+01,-2.496651916503906250e+02
7.174941253662109375e+01,7.357008361816406250e+01,8.418920135498046875e+01,6.071159744262695312e+01,4.742964935302734375e+01,-5.160890102386474609e+00
6.763255310058593750e+01,9.851334381103515625e+01,1.635576367378234863e+00,9.567866516113281250e+01,1.531750640869140625e+02,1.204009628295898438e+02
4.782093048095703125e+01,8.034001159667968750e+01,1.057409191131591797e+01,-3.652849674224853516e+00,3.826614074707031250e+02,2.558969879150390625e+01
