,Metal,SM,g_minus_r,u_minus_r,x,y,z
10,0.0252575259656,1612994432.0,0.806718826294,2.53806591034,84.9672622681,47.4989547729,8.15341663361
43,0.0458633489907,2387122688.0,0.889682769775,2.81660842896,9.25234699249,35.2042961121,53.8724250793
48,0.021077523008,1030588288.0,0.782232284546,2.44376564026,67.1387481689,31.1294994354,23.7017478943
55,0.0216889157891,1758562048.0,0.768579483032,2.4242515564,5.05188798904,57.0297851562,38.552482605
77,0.018965119496,1144079616.0,0.7555103302,2.37176418304,68.2487258911,65.8228759766,6.78346443176
81,0.0190489180386,1308115968.0,0.7672996521,2.39312267303,92.714012146,57.5182113647,1.67538654804
90,0.0269265845418,1507222784.0,0.800838470459,2.51012802124,13.630856514,13.8959283829,60.0140342712
94,0.018181188032,1229244800.0,0.74481010437,2.34262466431,25.936296463,73.8568115234,19.3887195587
97,0.029552301392,3508254208.0,0.743968963623,2.2394361496,9.11544132233,35.0459213257,54.5217971802
106,0.0130315208808,3572172544.0,0.762041091919,2.38649559021,72.7346191406,28.5031814575,26.7254695892
108,0.0131452707574,1409320448.0,0.745048522949,2.33296108246,88.2821121216,50.5816993713,4.15584182739
121,0.0211494788527,1189091712.0,0.288833618164,0.986373901367,7.37252044678,39.2167053223,53.3235702515
140,0.013918120414,1016589568.0,0.717166900635,2.22948646545,85.0665893555,47.7944107056,8.50833129883
145,0.0229812320322,2519317760.0,0.787824630737,2.46792030334,9.20291423798,34.8411026001,54.6142501831
153,0.0199459940195,1534867968.0,0.740251541138,2.34544467926,38.5480155945,27.3895359039,47.3017234802
155,0.0274231098592,3253044992.0,0.727468490601,2.35603523254,6.62240505219,20.1721801758,66.4974365234
168,0.0183344278485,2240665344.0,0.752986907959,2.36489200592,80.0233230591,2.26846837997,39.9639053345
174,0.0146732619032,1197371264.0,0.724409103394,2.26496219635,85.0981063843,47.4617805481,8.27872467041
175,0.0188050922006,1027049216.0,0.749696731567,2.34852695465,38.6909255981,71.1458740234,13.1371641159
179,0.0115645313635,1034763840.0,0.694301605225,2.16016387939,67.2887191772,30.9509716034,23.4177455902
181,0.0146817807108,1215393408.0,0.739351272583,2.29207038879,9.25613498688,34.7144088745,54.8166770935
183,0.0234547574073,4198656256.0,0.79981803894,2.51850414276,9.64982032776,37.6034088135,53.8565139771
207,0.0134790632874,1227816448.0,0.730823516846,2.26979923248,8.98014831543,34.9209709167,54.8235931396
216,0.02149586007,3124275456.0,0.466903686523,1.33077049255,55.6075820923,43.2791366577,28.6470489502
219,0.0117635084316,1281918464.0,0.721719741821,2.26099205017,8.12764549255,35.135093689,55.4250450134
240,0.0154334232211,1346169472.0,0.74241065979,2.30979919434,72.7213516235,28.589635849,26.6914291382
245,0.0175794195384,1806260224.0,0.749778747559,2.33203411102,9.05561542511,35.231212616,54.4588279724
265,0.015219326131,3696698624.0,0.770582199097,2.41277980804,88.0646286011,50.4673500061,4.47974014282
267,0.0179481524974,1843995264.0,0.733795166016,2.28981018066,98.3722381592,44.8556518555,0.192582860589
282,0.0140015026554,1479981440.0,0.735040664673,2.28073692322,9.21882724762,34.6550559998,54.5005569458
296,0.018874546513,3288712704.0,0.740476608276,2.33997344971,68.4468307495,65.8941116333,6.88380813599
320,0.00985038653016,1284132736.0,0.716869354248,2.23806476593,67.5059204102,30.8178482056,23.9977245331
336,0.0214575808495,2768449536.0,0.777114868164,2.42674255371,9.18258666992,35.367767334,54.6657905579
347,0.0187331438065,2157072384.0,0.741287231445,2.32421016693,9.45828914642,35.3406028748,53.6505432129
348,0.0195894129574,3323280896.0,0.765216827393,2.38582229614,54.2151870728,35.9840812683,34.2105178833
350,0.0103269219398,1174079616.0,0.686716079712,2.15623188019,9.20159626007,34.8172836304,54.5897102356
351,0.0157912950963,1780094848.0,0.745088577271,2.32173347473,54.0756988525,35.8964920044,34.4237098694
354,0.0204919464886,3130029824.0,0.751857757568,2.35247898102,9.34936714172,34.9727172852,54.3940467834
388,0.0145499957725,1452400128.0,0.724973678589,2.25420093536,84.9642181396,47.488494873,7.96917009354
407,0.0148830907419,1856734720.0,0.741981506348,2.31584835052,79.9745407104,1.99205851555,40.1483688354
423,0.0107767693698,1507459840.0,0.700134277344,2.1798992157,79.9232940674,1.48998057842,40.2705497742
432,0.0114416712895,1532667520.0,0.705656051636,2.20817089081,8.95808124542,34.4456367493,54.5436286926
434,0.0108573893085,1674426368.0,0.699708938599,2.19768428802,72.6581878662,28.8109455109,26.4446048737
469,0.0122551927343,1521526912.0,0.720043182373,2.24452400208,92.5171508789,57.4955368042,2.10469722748
477,0.0147188901901,1825872640.0,0.663187026978,2.07136821747,40.75756073,27.5159854889,46.6079101562
482,0.0140412664041,1530494080.0,0.733148574829,2.27339172363,80.0784759521,2.24055171013,40.2872047424
496,0.0110137397423,1368973056.0,0.692693710327,2.15924739838,8.14947986603,35.3489227295,55.0746955872
504,0.0139216026291,1497093888.0,0.714260101318,2.22870159149,13.3519201279,14.0216302872,59.913520813
506,0.0152367604896,1561258496.0,0.50514793396,1.62246704102,10.2937240601,28.773273468,56.2355308533
518,0.0108366673812,1043515264.0,0.708150863647,2.18987941742,92.7186508179,57.5294799805,1.98767232895
527,0.0130237676203,1527684224.0,0.709907531738,2.23279285431,87.9569396973,50.9666481018,4.28389883041
538,0.0182585902512,1342082944.0,0.742904663086,2.31833171844,73.1457443237,28.4703044891,27.0428466797
541,0.01418099273,1990316416.0,0.734884262085,2.29831218719,9.69540500641,35.0568733215,53.9795684814
550,0.0107337515801,1090764672.0,0.712327957153,2.21443843842,26.0239009857,73.6317520142,19.1600074768
554,0.034103076905,7737504256.0,0.451040267944,1.62045478821,26.0137062073,73.6729431152,19.2925167084
571,0.00715960655361,1016787712.0,0.67230796814,2.0905418396,8.45343399048,33.5626831055,53.073841095
573,0.0200745183975,2776883200.0,0.765285491943,2.39141368866,9.3211774826,35.1225357056,54.5655403137
578,0.0115410014987,1245489920.0,0.449129104614,1.44070053101,75.7603988647,42.2198448181,13.8262834549
585,0.0109055582434,1048392960.0,0.698608398438,2.18978500366,85.3485794067,47.5267448425,8.22938537598
600,0.0169932022691,5658767872.0,0.748056411743,2.32942962646,79.6489562988,1.8571562767,40.7010498047
652,0.0359276235104,10180491264.0,0.854873657227,2.68672370911,87.8858947754,50.4744949341,4.50678491592
697,0.0104598328471,1287390336.0,0.612627029419,2.01776218414,84.8609161377,46.5636940002,8.84837341309
698,0.015935741365,2785881344.0,0.658123016357,2.06367874146,85.7186737061,4.58938169479,35.5761070251
701,0.00769472587854,1331246848.0,0.684020996094,2.12554550171,72.2339401245,28.7421607971,26.4730110168
702,0.013979556039,1626625152.0,0.598066329956,1.88367462158,40.8122940063,27.4987430573,46.4656143188
711,0.0118426289409,1060852032.0,0.709421157837,2.22151565552,8.78025150299,35.1177520752,55.2099266052
713,0.0146273374557,1549975680.0,0.701135635376,2.20406246185,55.0007286072,34.4444732666,30.1602210999
720,0.0175170898438,3108983296.0,0.286203384399,1.15378761292,36.5910682678,69.8621902466,12.018573761
721,0.0218178331852,6361869824.0,0.797187805176,2.49333190918,9.07739925385,35.0280914307,54.535900116
763,0.0185156017542,2803501568.0,0.642555236816,2.00530433655,2.73052358627,27.783613205,63.0926399231
765,0.0176902990788,6632854528.0,0.776605606079,2.41689300537,87.957069397,50.5845909119,4.49273490906
766,0.0122004998848,3108700928.0,0.714179992676,2.23296165466,54.2640953064,35.7567558289,34.5596542358
770,0.0311614051461,6657559040.0,0.822620391846,2.58347129822,67.1487426758,31.12682724,23.6689891815
797,0.0107955066487,1133359104.0,0.711309432983,2.20810127258,9.22200584412,34.8211479187,54.7276954651
801,0.00723393727094,1351320576.0,0.658155441284,2.0735206604,9.0322933197,34.9757461548,54.2437515259
806,0.0150961913168,2156390144.0,0.703475952148,2.23016834259,85.649307251,4.56369924545,35.5094299316
