,Metal,SM,g_minus_r,u_minus_r,x,y,z
10,0.0252575259656,1612994432.0,0.806718826294,2.53806591034,84.9672622681,47.4989547729,8.15341663361
19,0.0350727178156,1491547520.0,0.849187850952,2.6637096405,33.7737960815,66.0954818726,9.34834671021
46,0.0299403369427,1347815296.0,0.804368972778,2.53466129303,27.2789783478,67.9068832397,12.330988884
48,0.021077523008,1030588288.0,0.782232284546,2.44376564026,67.1387481689,31.1294994354,23.7017478943
81,0.0190489180386,1308115968.0,0.7672996521,2.39312267303,92.714012146,57.5182113647,1.67538654804
86,0.0294146090746,1345502848.0,0.772542953491,2.45933437347,8.26737785339,56.1178512573,31.3631076813
90,0.0269265845418,1507222784.0,0.800838470459,2.51012802124,13.630856514,13.8959283829,60.0140342712
106,0.0130315208808,3572172544.0,0.762041091919,2.38649559021,72.7346191406,28.5031814575,26.7254695892
108,0.0131452707574,1409320448.0,0.745048522949,2.33296108246,88.2821121216,50.5816993713,4.15584182739
140,0.013918120414,1016589568.0,0.717166900635,2.22948646545,85.0665893555,47.7944107056,8.50833129883
168,0.0183344278485,2240665344.0,0.752986907959,2.36489200592,80.0233230591,2.26846837997,39.9639053345
174,0.0146732619032,1197371264.0,0.724409103394,2.26496219635,85.0981063843,47.4617805481,8.27872467041
179,0.0115645313635,1034763840.0,0.694301605225,2.16016387939,67.2887191772,30.9509716034,23.4177455902
184,0.0181958004832,1150283520.0,0.751224517822,2.34093284607,33.1822319031,66.2479476929,9.44320487976
230,0.0301502589136,2318683648.0,0.465377807617,1.44190216064,34.3107566833,65.357421875,9.36808395386
240,0.0154334232211,1346169472.0,0.74241065979,2.30979919434,72.7213516235,28.589635849,26.6914291382
265,0.015219326131,3696698624.0,0.770582199097,2.41277980804,88.0646286011,50.4673500061,4.47974014282
267,0.0179481524974,1843995264.0,0.733795166016,2.28981018066,98.3722381592,44.8556518555,0.192582860589
289,0.0160618107766,1342143616.0,0.673677444458,2.15473937988,38.2411766052,60.9704971313,12.0982732773
302,0.0134537378326,1596870400.0,0.731746673584,2.26943492889,33.0533485413,66.5344314575,9.19161987305
320,0.00985038653016,1284132736.0,0.716869354248,2.23806476593,67.5059204102,30.8178482056,23.9977245331
330,0.0125029468909,1069518720.0,0.703281402588,2.2021522522,23.6521224976,68.8703079224,10.1667842865
388,0.0145499957725,1452400128.0,0.724973678589,2.25420093536,84.9642181396,47.488494873,7.96917009354
434,0.0108573893085,1674426368.0,0.699708938599,2.19768428802,72.6581878662,28.8109455109,26.4446048737
442,0.0128709925339,1065267840.0,0.683824539185,2.18046951294,27.6104068756,67.9809646606,12.385389328
469,0.0122551927343,1521526912.0,0.720043182373,2.24452400208,92.5171508789,57.4955368042,2.10469722748
482,0.0140412664041,1530494080.0,0.733148574829,2.27339172363,80.0784759521,2.24055171013,40.2872047424
504,0.0139216026291,1497093888.0,0.714260101318,2.22870159149,13.3519201279,14.0216302872,59.913520813
518,0.0108366673812,1043515264.0,0.708150863647,2.18987941742,92.7186508179,57.5294799805,1.98767232895
527,0.0130237676203,1527684224.0,0.709907531738,2.23279285431,87.9569396973,50.9666481018,4.28389883041
538,0.0182585902512,1342082944.0,0.742904663086,2.31833171844,73.1457443237,28.4703044891,27.0428466797
576,0.0117127094418,1145744512.0,0.720863342285,2.24065208435,34.1229324341,66.5510177612,9.23138713837
578,0.0115410014987,1245489920.0,0.449129104614,1.44070053101,75.7603988647,42.2198448181,13.8262834549
585,0.0109055582434,1048392960.0,0.698608398438,2.18978500366,85.3485794067,47.5267448425,8.22938537598
592,0.0132187930867,1303256704.0,0.271530151367,1.08021736145,82.0712585449,1.86511039734,46.9301872253
600,0.0169932022691,5658767872.0,0.748056411743,2.32942962646,79.6489562988,1.8571562767,40.7010498047
652,0.0359276235104,10180491264.0,0.854873657227,2.68672370911,87.8858947754,50.4744949341,4.50678491592
696,0.0152890235186,1411200000.0,0.676374435425,2.03229618073,50.5417938232,57.9489173889,10.3689804077
697,0.0104598328471,1287390336.0,0.612627029419,2.01776218414,84.8609161377,46.5636940002,8.84837341309
701,0.00769472587854,1331246848.0,0.684020996094,2.12554550171,72.2339401245,28.7421607971,26.4730110168
713,0.0146273374557,1549975680.0,0.701135635376,2.20406246185,55.0007286072,34.4444732666,30.1602210999
720,0.0175170898438,3108983296.0,0.286203384399,1.15378761292,36.5910682678,69.8621902466,12.018573761
765,0.0176902990788,6632854528.0,0.776605606079,2.41689300537,87.957069397,50.5845909119,4.49273490906
770,0.0311614051461,6657559040.0,0.822620391846,2.58347129822,67.1487426758,31.12682724,23.6689891815
792,0.0140129970387,1088752512.0,0.637411117554,2.10697746277,50.3195724487,57.8918571472,10.3386268616
812,0.0128897344694,1425194112.0,0.712869644165,2.20561122894,81.6721038818,4.40782833099,46.4141998291
814,0.0166726484895,2998136320.0,0.721729278564,2.26321601868,13.6462955475,14.367146492,60.0523376465
817,0.0111564621329,1416620928.0,0.707078933716,2.20783615112,88.1234588623,49.9819068909,4.36975097656
820,0.0265782456845,7468836352.0,0.804105758667,2.51446342468,92.6816864014,57.3442649841,1.94056487083
828,0.00672981468961,1281804160.0,0.641712188721,2.02676486969,73.0521850586,28.988817215,26.6860332489
837,0.021343536675,4491833344.0,0.76616859436,2.39550018311,85.0075073242,47.3512840271,8.10694789886
866,0.00830847211182,1281505920.0,0.659343719482,2.07237148285,88.0843811035,48.7407569885,4.59386968613
869,0.0194466207176,5141591040.0,0.765480041504,2.37077140808,34.1797866821,66.3759002686,9.47064685822
873,0.0139296278358,1085344896.0,0.491046905518,1.62558174133,91.998298645,52.6877326965,3.30077075958
879,0.0129983779043,1275520512.0,0.700048446655,2.20997714996,13.9275531769,13.1193466187,59.8267669678
906,0.0121264047921,1622623744.0,0.70171546936,2.2060136795,72.7952651978,28.8412246704,26.9446144104
914,0.0107246525586,1184174208.0,0.689289093018,2.15601062775,13.1765851974,14.4671163559,60.1605377197
917,0.0233320128173,8352218112.0,0.770059585571,2.41354179382,66.9008865356,31.170293808,23.5598068237
922,0.013164523989,3114495232.0,0.179462432861,0.88463973999,5.90432167053,80.8218536377,13.9686813354
925,0.0107609154657,1120586496.0,0.698875427246,2.17822742462,84.9032592773,47.4544029236,7.34027767181
934,0.00962550844997,1352295040.0,0.0911388397217,0.658782958984,85.0215759277,47.6993980408,7.81499385834
940,0.0137469628826,1843887744.0,0.729774475098,2.27482891083,86.8663406372,50.3555259705,4.30148601532
944,0.0144425788894,2451719936.0,0.731248855591,2.26042461395,92.6803207397,57.2495651245,1.0797150135
952,0.00852184183896,1155611520.0,0.6614818573,2.09200572968,87.6611785889,51.0022239685,4.6994638443
953,0.008474746719,2479226368.0,0.658140182495,2.07197761536,87.4088516235,50.5633239746,4.35603666306
958,0.0283065661788,13098385408.0,0.823419570923,2.58804512024,33.7554283142,66.1321105957,9.2204580307
966,0.0122979059815,2815716096.0,0.704307556152,2.21162605286,85.3542404175,47.8590087891,8.16727828979
975,0.0133038833737,2114119680.0,0.722833633423,2.25214195251,72.147354126,28.9046955109,26.637834549
986,0.0160729940981,1433911936.0,0.726016998291,2.27631378174,73.0910720825,28.4802112579,27.2122135162
996,0.0147922402248,2279562496.0,0.728784561157,2.27198505402,72.4748458862,29.2099571228,26.7283306122
1019,0.0159700233489,3302304512.0,0.730230331421,2.27956390381,84.8943634033,47.3433570862,8.05340480804
1063,0.015545074828,3724182784.0,0.744579315186,2.31425380707,73.0539321899,28.67537117,26.744146347
1064,0.0112987160683,2258912000.0,0.712125778198,2.21506214142,84.657371521,47.2108039856,8.59074687958
1065,0.0219709910452,6615996928.0,0.778015136719,2.42760467529,84.7889862061,47.2788276672,8.1632270813
1082,0.0155852483585,2982917376.0,0.375387191772,1.27819252014,40.6839065552,68.463394165,4.08726453781
1102,0.0119816698134,1574298240.0,0.711608886719,2.2016248703,84.8018569946,46.9743766785,7.77256584167
1109,0.0138427158818,1525478016.0,0.71732711792,2.23043346405,85.3421783447,47.4528541565,8.10184001923
1120,0.012261511758,2690151936.0,0.711692810059,2.21019554138,84.6607284546,47.7225494385,8.15324020386
1127,0.0162828229368,2634753536.0,0.663105010986,2.15703964233,60.283531189,41.2552871704,22.337644577
1128,0.0141923753545,1803566720.0,0.706571578979,2.21818351746,84.1987838745,46.7785720825,8.54939842224
1145,0.0138498013839,2528172800.0,0.722099304199,2.251912117,13.6046705246,14.5234804153,60.4536705017
1146,0.0187721699476,3621788416.0,0.746469497681,2.32500648499,67.0628509521,31.1065196991,23.7851581573
1164,0.0160509478301,2761454848.0,0.748218536377,2.32188796997,84.7864379883,47.4157295227,7.90328979492
1168,0.0115776145831,2023069056.0,0.707033157349,2.19926548004,92.939743042,56.9556808472,1.43043792248
1234,0.0157232414931,7354757120.0,0.751333236694,2.35377693176,69.8348617554,38.1541900635,17.2539653778
1243,0.00903748907149,1527333888.0,0.6506690979,2.07087039948,87.7291717529,50.0435066223,3.13174653053
1249,0.0154059007764,1541531776.0,0.415399551392,1.35713195801,12.5476551056,48.1070022583,35.4143829346
1255,0.0162816867232,5848102912.0,0.742816925049,2.32514572144,87.8664779663,50.3131217957,4.39420795441
1262,0.0136729246005,2770775552.0,0.719573974609,2.2383146286,88.0126571655,50.4035758972,4.44888782501
1290,0.0127289686352,1045113472.0,0.71831703186,2.21700191498,33.875415802,66.8907318115,9.67070579529
1314,0.00994483008981,1062184704.0,0.691814422607,2.16641807556,88.4395828247,50.1320381165,4.20499610901
1335,0.0134436739609,1265629568.0,0.71050453186,2.22259902954,85.4983291626,48.977355957,7.82119417191
1340,0.0199707578868,5378227712.0,0.762929916382,2.3603553772,92.7580413818,57.3712043762,1.89967763424
1342,0.0135120274499,1092157312.0,0.584753036499,1.91056919098,75.754699707,22.0572185516,30.9085636139
1359,0.00966686755419,2216361984.0,0.699928283691,2.17598438263,32.4119796753,66.0293884277,9.78361129761
1361,0.0110893528908,1705712384.0,0.5244140625,1.87515449524,84.6358108521,46.3627052307,8.16184329987
1365,0.0136382970959,1440053888.0,0.469903945923,1.5409412384,90.7798919678,52.7336502075,0.0835497006774
1396,0.0172047968954,3375249152.0,0.480558395386,1.41516113281,89.4310073853,8.4586353302,37.1320037842
1411,0.0160835422575,2780542976.0,0.659931182861,2.02163696289,81.5289001465,4.53357934952,46.4728889465
1428,0.017597489059,4839498752.0,0.300926208496,1.03190612793,38.7312927246,70.92603302,12.0578489304
1431,0.0104507394135,1397286400.0,0.694873809814,2.17712688446,84.8899078369,47.8625946045,8.2797164917
1454,0.01429854054,2704294400.0,0.72349357605,2.25793552399,33.4090881348,66.3577270508,8.31875038147
1464,0.0272078998387,14747420672.0,0.767101287842,2.45174217224,71.399230957,56.5652275085,5.02492332458
1480,0.00938650686294,1108705152.0,0.169618606567,0.891778945923,98.7479400635,0.364641964436,41.6628761292
1481,0.012947046198,2625170176.0,0.721000671387,2.25443077087,84.6463165283,47.2757034302,7.6661272049
1485,0.0169130079448,3124602112.0,0.575128555298,1.79865074158,13.5623397827,14.9754667282,59.8092575073
1488,0.0115354051813,1371646080.0,0.423143386841,1.46285820007,35.4558105469,65.358291626,8.2156419754
1504,0.0301373749971,13849341952.0,0.822666168213,2.57315063477,72.6842269897,28.6701335907,26.7021636963
1517,0.0150875635445,1090849920.0,0.367895126343,1.32868003845,82.8778152466,45.1658744812,8.28384113312
1554,0.0154876597226,3867154432.0,0.720186233521,2.27005767822,88.5722808838,50.1472320557,4.15560531616
1563,0.0113318692893,2155197184.0,0.707216262817,2.20641708374,85.1855697632,46.8111305237,8.42066001892
1621,0.0141708049923,3709540608.0,0.716514587402,2.23571395874,84.7576904297,47.6095199585,8.41942977905
1623,0.0136486692354,1937341824.0,0.712467193604,2.2202911377,14.0520572662,13.3226556778,59.2938308716
1700,0.0133832860738,1070230080.0,0.561590194702,1.72658729553,44.8907546997,62.6575126648,7.46682357788
1725,0.0194700397551,10868633600.0,0.774280548096,2.41666603088,79.7858505249,2.2156355381,40.1799926758
1728,0.0164764840156,3707501312.0,0.736680984497,2.28706169128,84.150390625,46.9376411438,8.15556430817
