,Metal,SM,g_minus_r,u_minus_r,x,y,z
1,0.0407277643681,1158677888.0,0.865177154541,2.73485565186,91.8218460083,14.4487409592,36.8724060059
8,0.0310357455164,1684644096.0,0.830345153809,2.60799121857,62.0577430725,34.0742683411,20.8207416534
10,0.0252575259656,1612994432.0,0.806718826294,2.53806591034,84.9672622681,47.4989547729,8.15341663361
19,0.0350727178156,1491547520.0,0.849187850952,2.6637096405,33.7737960815,66.0954818726,9.34834671021
45,0.0283447746187,1607667840.0,0.813789367676,2.55477619171,91.8207397461,14.4981422424,36.9073524475
48,0.021077523008,1030588288.0,0.782232284546,2.44376564026,67.1387481689,31.1294994354,23.7017478943
81,0.0190489180386,1308115968.0,0.7672996521,2.39312267303,92.714012146,57.5182113647,1.67538654804
106,0.0130315208808,3572172544.0,0.762041091919,2.38649559021,72.7346191406,28.5031814575,26.7254695892
108,0.0131452707574,1409320448.0,0.745048522949,2.33296108246,88.2821121216,50.5816993713,4.15584182739
140,0.013918120414,1016589568.0,0.717166900635,2.22948646545,85.0665893555,47.7944107056,8.50833129883
174,0.0146732619032,1197371264.0,0.724409103394,2.26496219635,85.0981063843,47.4617805481,8.27872467041
179,0.0115645313635,1034763840.0,0.694301605225,2.16016387939,67.2887191772,30.9509716034,23.4177455902
184,0.0181958004832,1150283520.0,0.751224517822,2.34093284607,33.1822319031,66.2479476929,9.44320487976
196,0.0144386794418,1263131008.0,0.742391586304,2.31082630157,24.7181015015,66.0658340454,9.95455169678
203,0.0214076954871,1871744000.0,0.763652801514,2.3944234848,19.4481220245,63.2805023193,14.7594060898
222,0.0119723407552,1022408384.0,0.669696807861,2.14415359497,8.33989715576,51.3872795105,25.7666606903
230,0.0301502589136,2318683648.0,0.465377807617,1.44190216064,34.3107566833,65.357421875,9.36808395386
240,0.0154334232211,1346169472.0,0.74241065979,2.30979919434,72.7213516235,28.589635849,26.6914291382
265,0.015219326131,3696698624.0,0.770582199097,2.41277980804,88.0646286011,50.4673500061,4.47974014282
289,0.0160618107766,1342143616.0,0.673677444458,2.15473937988,38.2411766052,60.9704971313,12.0982732773
302,0.0134537378326,1596870400.0,0.731746673584,2.26943492889,33.0533485413,66.5344314575,9.19161987305
315,0.016198778525,2193710080.0,0.74585723877,2.33334541321,61.9927482605,33.8408432007,20.5053501129
320,0.00985038653016,1284132736.0,0.716869354248,2.23806476593,67.5059204102,30.8178482056,23.9977245331
330,0.0125029468909,1069518720.0,0.703281402588,2.2021522522,23.6521224976,68.8703079224,10.1667842865
388,0.0145499957725,1452400128.0,0.724973678589,2.25420093536,84.9642181396,47.488494873,7.96917009354
